strain	pellet_mig-6_S16	pellet_pos-1_S17	supernatant_pos-1_S27	pellet_mig-6_S37	pellet_pos-1_S38	supernatant_pos-1_S49	pel_pos	sup_pos	pel_mig
ED3005	0.00571618811408618	0.00622648510970876	0.00194705500529103	-0.00456767274785503	-0.00259375288588083	-0.00671739495848296	0.00181636611191397	-0.00238516997659596	0.000574257683115577
ED3011	0.0551351065027304	0.0108716690168463	0.0131525325422735	0.0327591158376166	0.00789894836253852	0.0124757565108319	0.0093853086896924	0.0128141445265527	0.0439471111701735
ED3012	-0.00265617080291391	-0.00265617080291391	-0.00608387399499091	-0.00265617080291391	-0.00265617080291391	-0.00608387399499091	-0.00265617080291391	-0.00608387399499091	-0.00265617080291391
ED3048	-0.0361596454780375	0.00375285392240516	0.00255736933973737	-0.0361596454780375	-0.019793950810115	-0.00416711189543269	-0.0080205484438549	-0.000804871277847662	-0.0361596454780375
ED3049	-0.0365794073016592	-0.0308488174643964	-0.060078849732402	-0.035340810152645	-0.0348770657062621	-0.0632672971462877	-0.0328629415853292	-0.0616730734393449	-0.0359601087271521
ED3073	-0.0207763649731211	-0.013802150194857	0.00934726810773286	-0.0204039019605058	-0.0221034024833872	-0.0041724019852325	-0.0179527763391221	0.00258743306125018	-0.0205901334668135
ED3077	-0.00850038192983854	-0.00632161593064279	-0.0150764502514533	-0.00850038192983854	-0.00850038192983854	-0.0178598684332525	-0.00741099893024066	-0.0164681593423529	-0.00850038192983854
EG4946	0.000707341677334742	-0.00798908184506237	-0.013819709437783	-0.0111306844106616	-0.0111306844106616	-0.0159123100360006	-0.00955988312786197	-0.0148660097368918	-0.00521167136666341
GXW1	-0.0014390449776983	0.00450660505258433	0.00337938823144904	0.00126872011022457	0.0065138570469705	0.00204659504539151	0.00551023104977741	0.00271299163842028	-8.51624337368639e-05
JU1088	-0.0376516588291036	-0.0211596129863881	-0.0135536553257629	-0.0376516588291036	-0.0302637478478966	-0.0109477446227259	-0.0257116804171423	-0.0122506999742444	-0.0376516588291036
JU1172	-0.00519502646882327	-0.00150015101399809	0.00373296803917623	-0.00515211541225851	-0.00286779161630224	-0.0013835796463341	-0.00218397131515016	0.00117469419642106	-0.00517357094054089
JU1200	-0.00531312402308177	-0.00531312402308177	-0.00923176053042584	-0.00531312402308177	-0.00531312402308177	-0.0033206708184623	-0.00531312402308177	-0.00627621567444407	-0.00531312402308177
JU1242	0	0	0	0	0.00969850466140315	0.0015577389575473	0.00484925233070158	0.00077886947877365	0
JU1491	-0.0027675474371644	0.00531410838483442	-0.00148259449284075	-0.0027675474371644	0.0110641068655651	0.00453837701316683	0.00818910762519977	0.00152789126016304	-0.0027675474371644
JU1543	-0.00213950714001629	0.00103381986433006	-0.00470132859606753	-0.0128437819008217	-0.00226685487412537	0.00344872836956964	-0.000616517504897654	-0.000626300113248946	-0.00749164452041897
JU1652	-0.0238309003532365	0.022396190215774	0.0138680083708351	-0.0305299098004983	0.00477173056801789	0.0124818528268915	0.0135839603918959	0.0131749305988633	-0.0271804050768674
JU1666	-0.000604688587369891	-0.000604688587369891	-0.0025036191902856	-0.000604688587369891	-0.000604688587369891	-0.000972324271717012	-0.000604688587369891	-0.00173797173100131	-0.000604688587369891
