strain,Slope_pub,PC1_pub,slope_mip_m,PC1_mip_m,slope_nnls,PC1_nnls
JU2879,-0.00745388,-1.170253072,-0.02257225863832982,-1.412694659461679,-0.12034028147349839,-1.5673132863229757
JU3137,-0.138941776,-3.122977472,-0.18440514619230353,-2.2095676414756777,-0.15849372847612905,-8.302045250263568e-4
JU561,-0.008879996,1.977281856,-0.008923279323220937,1.4784604991062975,-0.3231303914696366,-0.9575410340498527
JU774,-0.006186768,-1.949462762,-0.01709080744859753,-2.552749489442289,0.03729143018540081,-1.076065496534321
JU775,0.00335483,1.198662497,0.005501374183890563,0.9279251724306273,0.04155090452631592,1.2503120490357142
JU782,-0.046853184,1.247490661,-0.05875173995632001,1.2356543721431221,-0.45166237681884547,1.722181691620163
KR314,-0.065884839,-0.115547229,-0.09200548250269734,0.2673319225186673,-0.10231931479772885,0.5682673738504403
LKC34,-0.052590156,-0.300338232,-0.05479396840111695,-0.1361777464279205,0.0045204291166278205,0.9422770261418846
MY10,-0.096628192,-2.545111543,-0.1165584669885632,-2.4542883478301025,-0.32879148749824483,-1.4447868653671245
MY16,-0.092011155,-4.134755978,-0.1276879754787544,-4.525290115162407,-0.11305231445038337,-1.0309654645767266
MY18,-0.143713473,-4.632549676,-0.1467544850792407,-3.6924293713137013,-0.4235217759395219,-3.150682856196033
MY2147,-0.183770125,-5.154801188,-0.20762664801316255,-3.886375912088532,-0.6801810142226699,-4.993760195946632
MY23,-0.031740423,-0.576798682,-0.032670726970981674,-0.23179605385757465,-0.08986175732001794,-0.07585503050900032
MY2453,-0.076873881,-2.118472452,-0.11374356669291706,-2.183004421204682,-0.41728038582364474,-2.1981341053904444
MY2741,-0.094199194,-0.4720837,-0.13633972712358985,-0.3978263799300794,-0.14196909980146846,0.693190987433522
NIC195,-0.041469401,1.488699453,-0.0651602463865399,1.7721370247650994,0.0011547441572580777,0.3144231920506048
NIC199,-0.009938424,1.563197776,-0.004464752818295462,2.0850740622389385,0.1434458937323201,2.776820226751072
NIC251,0.004807741,0.267445575,-7.355403950766289e-4,0.1347377482406617,-0.13533703452102,0.013198385658170112
NIC252,0.081674275,4.816368562,0.0873473545653537,4.448868120624932,0.07471110327358625,1.5217458495209935
NIC256,-0.069860459,0.969947754,-0.0982520700285042,1.1967990826957426,-0.040068408442421634,0.4165252918481395
NIC258,0.067064897,4.092378798,0.07463685072761483,3.590415839677899,0.08901710483164017,1.3632703980173915
NIC261,0.039843205,5.553744921,0.038497029113306644,4.991225719817839,-0.09194582499149123,6.690710717488107
NIC262,0.046490981,5.16491465,0.048912509492235336,4.598810606729094,-0.13515738702586863,1.2836246691433275
NIC265,0.029735928,3.995341592,0.02681267479912776,3.6296301190983713,0.026687639007523942,1.8274957051820186
NIC266,-0.049629389,1.192043395,-0.0444940265897885,1.3587073298289478,-0.15008373113931722,0.2003691155889116
NIC268,-0.007329481,-0.379337597,-0.008519094114062781,0.202555975937868,-0.12996160561835773,0.8781208617258265
NIC271,-0.029985181,-0.344031047,-0.02650207452848938,0.23660642821098618,-0.016016809273369705,-0.5066979296593624
NIC3,-0.066407626,-2.271555962,-0.08378853081116082,-2.3981905328731603,-0.05349651973635038,0.5098175065499956
NIC501,-0.086877748,-1.03743694,-0.11609220979712173,-0.686730416581581,-0.22870468913052547,0.18670673718975717
NIC523,0.058972386,1.013577331,0.040197851311668725,0.9274117032535149,0.04411534198275477,0.4243627458673487
NIC526,-0.181313987,-6.003002808,-0.20313535321408327,-4.195648068325051,-0.11103797447480004,-0.440513742884347
NIC527,-0.129641013,-2.788241582,-0.15528409162159226,-2.7015677155302638,-0.5053210765004889,-1.6125549482656227
NIC528,0.022798954,1.005680855,0.021973370838369588,0.7336622162381885,0.08578355824619908,-0.09180739898718103
PB306,-0.066833746,-2.369832296,-0.04854533747534151,-2.1518796000305755,-0.0029531582242447755,0.7467144461057195
PS2025,0.007838736,1.711579758,-5.719473888787672e-4,1.19137255215521,-0.1752385098782897,0.5701115356944564
QG2075,0.010933435,-3.812889426,-0.003956742042042842,-3.9864001040165933,0.07516308312381366,0.05987436284246794
QG556,-0.106268498,-2.132962456,-0.11432107231510322,-2.1383305969251474,-0.0365088536779278,2.277197525086923
QW947,-0.070722395,0.709150363,-0.09156620845479041,1.1824449190986988,-0.3411381941746016,-0.5546611953715025
QX1211,0.015064471,0.967090986,-0.005340337743615758,-2.777448620447361,-0.005903376257372635,-4.513032723597057
