strain,slope_baugh,PC1_baugh,slope_nnls,PC1_nnls
JU2234,-6.697292484352661e-5,-0.031415640512657265,-9.22617491801212e-5,-0.021122963893773425
JU2316,-2.507279281433919e-5,0.009326069480806824,7.861896525531825e-5,0.01046075625513688
JU2464,-4.3993295748761066e-4,-0.021094020760571524,-4.5493750470113666e-4,-0.03363193694477075
JU2519,7.951290655595827e-4,0.10730597252194418,9.157521838058308e-4,0.1037232008526814
JU2526,0.0023015443470891443,0.007723158061232064,0.002248053501414259,0.029281418699054363
JU2576,-2.4001551545811968e-4,-0.0025485271563026324,-1.5639565186885044e-4,-0.00218636436637356
JU258,-0.0015234558865863754,-0.01840671140987847,-0.001396258993833572,-0.043398262006629974
JU2592,-5.379939069576848e-4,-0.01548038998228771,-4.4419086304715855e-4,-0.014671484151653308
JU2593,-7.133340072611803e-4,-0.12270123636336702,-4.0179013206198257e-4,-0.10277145471906521
JU2619,-9.018910639291238e-5,-0.0028902393700481924,-6.125763305596179e-5,0.006397561614480129
JU2811,-0.0011252303683292589,-0.03294909179152212,-0.0012700194174948653,-0.050027970877677
JU2829,-2.215452173592667e-4,-0.02039528408126227,-2.803607899297412e-4,-0.02514123293226631
JU2838,1.6963277312379395e-4,-0.04751580025108949,1.1074333113533646e-4,-0.04101718837756992
JU2841,2.696067561606582e-4,-0.051588059344144246,8.76079588776344e-4,-0.027324927222425403
JU2878,2.2872808228699507e-4,-0.05945733846949924,2.4076805063596274e-4,-0.045931485133743226
JU2879,-5.0459339167254265e-5,-0.012400010025340651,2.196959312277056e-5,-0.003283065620381074
JU3137,-7.690800097200737e-4,-0.025812577969387317,-7.771587830989737e-4,-0.0323247477976039
JU561,-3.749764152343376e-7,-1.4988868855077354e-5,-2.102323919360401e-5,-0.012881211666179922
JU774,-9.014257450872849e-5,0.003034142865704594,7.564238886833898e-5,0.00817875854973218
JU775,3.8973888140213213e-7,-2.04226101960222e-4,2.327092525268208e-4,-0.0018153957925685126
JU782,-6.634189656575998e-4,-0.0035824264082396696,-6.103023775929119e-4,-0.018464222135246334
KR314,-3.171446214890753e-4,-0.0237395179947171,-3.000765227148141e-4,-0.030475380791550103
LKC34,-1.541178190636019e-4,-0.001193248729939653,-1.5358455018754275e-4,-0.004913599355164404
MY10,-4.54303020582926e-4,-0.03167891624053025,-3.505572275525237e-4,-0.023346294731226395
MY16,-8.295250852375222e-4,-0.08140821990240622,-8.220585461803879e-4,-0.05942394940578945
MY18,-4.7557223382070407e-4,-0.008991783543051322,-8.396400949870918e-4,-0.037060233552013065
MY2147,-7.069613569591829e-4,-0.01711854803190913,-5.767803875935489e-4,-0.024754997245512667
MY23,-1.2224522227674732e-4,0.02620787148235354,-2.4638536856344247e-4,-0.002691335155613183
MY2453,-3.382603662135936e-4,-0.013905543784991299,-3.633628156987815e-4,-0.02683253178362816
MY2741,-5.682132836697253e-4,-0.019614115138283972,-4.741677983456156e-4,-0.027724664066371474
NIC195,-8.891087605101099e-5,0.020527903906756073,-3.28743730410306e-5,0.021102854011708735
NIC199,4.538495055106124e-6,-0.003918878655442038,4.121179486734133e-5,-0.007264136196278588
NIC251,2.4974811737423045e-5,0.008283766807156914,1.2233964338604334e-4,0.007637637835398278
NIC252,0.0012400586561238014,0.032019068800298096,0.001068386889553867,0.03693632163586661
NIC256,-4.319697499024839e-4,0.002049262736772259,-5.980036104415802e-6,6.723138792152086e-4
NIC258,0.0019810817707484455,-0.05727961293041739,0.0017970356794289677,-0.028548569835535623
NIC261,9.243629754754693e-4,-0.06801031999086443,0.0010464954424060499,-0.04816939259077723
NIC262,4.88326732124352e-4,0.03304665473001889,3.767943842441839e-4,0.02203654270907861
NIC265,2.617798847728468e-4,0.03059803464579052,4.027544969071053e-4,0.03249519581620365
NIC266,-1.312324361281243e-4,0.003977643908615215,-4.464195570338757e-5,-0.004354852290594675
NIC268,-1.9748688039606417e-5,0.007465578605365382,-1.2011242092122335e-5,0.007111019161435029
NIC271,-5.8668608868473605e-05,-0.0497710966881506,-5.389807380425131e-6,-0.011288812110895443
NIC3,-1.7371191494134277e-4,-0.016429509057751424,-1.8193697820527704e-4,-0.01239342617467552
NIC501,-7.29212564405152e-4,-0.054174181170503904,-5.839996724310174e-4,-0.03426028949319366
NIC523,5.633154790300437e-4,-0.013540656576570796,6.742789995277472e-4,-0.015597543341730104
NIC526,-1.7509514450937864e-4,-0.010728151143051921,-2.345405952562696e-4,-0.010970533371386806
NIC527,-7.424926973534961e-4,-0.06138894368307802,-7.157667733063044e-4,-0.055487459776563275
NIC528,3.087764813540306e-4,0.0700670524276873,3.323469577520927e-4,0.05797162309421928
PB306,-1.0159044904395804e-4,0.0018068368131704642,-1.0530244295809298e-4,0.0045728361108748235
PS2025,1.975040949590599e-4,0.03595963109775557,-4.999700770913609e-4,-0.0026002208393283146
QG2075,1.3420276321904259e-4,0.03609732907679061,1.2841237779332319e-4,0.03713883814561185
QG556,-3.2912168568437276e-4,-0.005572791577901597,-2.925339668342511e-4,-0.0013467443691275996
QW947,-7.474797811219917e-4,-0.03813197408211193,-7.433727254730843e-4,-0.04686306126370372
QX1211,-3.2659724944394294e-6,-6.471742540863931e-4,2.582860750341606e-6,-5.622387793625267e-4
QX1212,-7.856144624893956e-5,0.02907022689454787,-9.223378890312964e-5,0.015869325666067472
QX1791,-4.570087752643027e-4,-0.021920527925317772,-4.0409552409666227e-4,-0.022062538724232465
QX1792,-4.8292272326626876e-4,-0.04279446381964869,-4.7844063720052873e-4,-0.04322453968175559
QX1793,-8.924366761948842e-4,-0.049610114829155165,-9.221393696567128e-4,-0.05546560093459514
QX1794,-3.099457633207765e-4,-0.02057556887269429,-2.5474546420733676e-4,-0.02178057550857838
WN2001,-1.5159485230759715e-4,-0.012566928451293233,-1.8628290461934484e-4,-0.020474471047117096
XZ1513,-3.1932722937302177e-4,0.01481937752134234,-4.4488398130150525e-4,-0.007318591609418293
XZ1514,-3.4870731662698447e-4,-0.022145785311086408,-2.5582458379488487e-4,-0.0190944923661132
XZ1515,-1.246390083987242e-4,-0.018224579491918896,2.519241471296085e-5,-0.001462447580885868
XZ1516,-1.4095747640718888e-4,-0.005881737923702101,-1.0345629986058801e-4,-0.0076436441923523205
