strain,Slope_pub,PC1_pub,slope_mip_m,PC1_mip_m,slope_nnls,PC1_nnls
JU2619,-0.062543226,-0.301216533,-0.04663075507479762,0.2639097548417677,0,1.654441227058841
JU2811,-0.115590806,-2.647764156,-0.1491519931577123,-2.4284441831533043,-0.46225218327776335,-2.316190707914935
JU2829,-0.053982309,-0.388233441,-0.07440407182304724,-0.7621744211109952,-0.06348072227704589,-0.2454215704710072
JU2838,0.026109881,2.34242874,0.02098567022840415,2.2925168642583387,0.01576542919003282,0.9092326109889431
JU2841,0.001767199,0.512529949,0.003533597183840936,0.16842723506118923,0.023766037939870883,0.5682390548380614
JU2878,0.017662624,3.826666166,0.023700929599181405,3.4644399679398585,0.1313606351371178,7.07566721931247
JU2879,-0.00745388,-1.170253072,-0.02257225863832982,-1.412694659461679,-0.012277839361132135,1.3346320879229205
JU3137,-0.138941776,-3.122977472,-0.18440514619230353,-2.2095676414756777,-0.17669435285325952,-0.10032867193616578
JU561,-0.008879996,1.977281856,-0.008923279323220937,1.4784604991062975,-0.16697725089863238,-0.12604777780140627
JU774,-0.006186768,-1.949462762,-0.01709080744859753,-2.552749489442289,0.2000367034073342,-1.2985306107301462
JU775,0.00335483,1.198662497,0.005501374183890563,0.9279251724306273,0.03530118203329035,1.1092489860651893
JU782,-0.046853184,1.247490661,-0.05875173995632001,1.2356543721431221,-0.4898088707735836,-0.9428668088663068
KR314,-0.065884839,-0.115547229,-0.09200548250269734,0.2673319225186673,0.03212499132242354,3.6171399609562966
LKC34,-0.052590156,-0.300338232,-0.05479396840111695,-0.1361777464279205,-0.11378981360678281,1.5209529659964598
MY10,-0.096628192,-2.545111543,-0.1165584669885632,-2.4542883478301025,-0.2417078845772235,-1.1294536334286447
MY16,-0.092011155,-4.134755978,-0.1276879754787544,-4.525290115162407,-0.11338957143537678,-1.0411231169472608
MY18,-0.143713473,-4.632549676,-0.1467544850792407,-3.6924293713137013,-0.2824473937641508,-2.7483016838538252
MY2147,-0.183770125,-5.154801188,-0.20762664801316255,-3.886375912088532,-0.8350811736284391,-5.076170363982515
MY23,-0.031740423,-0.576798682,-0.032670726970981674,-0.23179605385757465,-0.18903086247798648,-0.23240939561183405
MY2453,-0.076873881,-2.118472452,-0.11374356669291706,-2.183004421204682,-0.3230001464709668,-1.4472709801350143
MY2741,-0.094199194,-0.4720837,-0.13633972712358985,-0.3978263799300794,-0.17528988291102596,-0.19337070534656534
NIC195,-0.041469401,1.488699453,-0.0651602463865399,1.7721370247650994,-0.18024534366672126,-0.7873928859251613
NIC199,-0.009938424,1.563197776,-0.004464752818295462,2.0850740622389385,0.0896773296319966,1.6012538173578865
NIC251,0.004807741,0.267445575,-7.355403950766289e-4,0.1347377482406617,-0.005879564617856421,0.8369102681910063
NIC252,0.081674275,4.816368562,0.0873473545653537,4.448868120624932,0.06882383291516023,1.607616401330839
NIC256,-0.069860459,0.969947754,-0.0982520700285042,1.1967990826957426,-0.016472260867352848,0.5565384380392939
NIC258,0.067064897,4.092378798,0.07463685072761483,3.590415839677899,0.08905892154733722,1.5810325051529517
NIC261,0.039843205,5.553744921,0.038497029113306644,4.991225719817839,0.05709564304138895,4.604129629419294
NIC262,0.046490981,5.16491465,0.048912509492235336,4.598810606729094,-0.1307376926999731,0.9541014179546123
NIC265,0.029735928,3.995341592,0.02681267479912776,3.6296301190983713,0.025429303553635145,1.7379872214547805
NIC266,-0.049629389,1.192043395,-0.0444940265897885,1.3587073298289478,-0.15168578516173217,2.0986936173376325
NIC268,-0.007329481,-0.379337597,-0.008519094114062781,0.202555975937868,-0.09630205685348026,0.9509728004466046
NIC271,-0.029985181,-0.344031047,-0.02650207452848938,0.23660642821098618,-0.014968079652526788,-0.9370172124683641
NIC3,-0.066407626,-2.271555962,-0.08378853081116082,-2.3981905328731603,-0.04064072829963618,0.7226772341028563
NIC501,-0.086877748,-1.03743694,-0.11609220979712173,-0.686730416581581,-0.22230873007427682,0.6418085611533606
NIC523,0.058972386,1.013577331,0.040197851311668725,0.9274117032535149,0.04576914474255009,0.6595571281617157
NIC526,-0.181313987,-6.003002808,-0.20313535321408327,-4.195648068325051,-0.08920517021982088,-0.18139480633715946
NIC527,-0.129641013,-2.788241582,-0.15528409162159226,-2.7015677155302638,-0.506112163114129,-1.891710268591839
NIC528,0.022798954,1.005680855,0.021973370838369588,0.7336622162381885,0.08132525314392557,0.005859128027521976
PB306,-0.066833746,-2.369832296,-0.04854533747534151,-2.1518796000305755,-0.00991824631856711,0.42803391092729914
PS2025,0.007838736,1.711579758,-5.719473888787672e-4,1.19137255215521,-0.054684102856126036,0.3743649372969184
QG2075,0.010933435,-3.812889426,-0.003956742042042842,-3.9864001040165933,0.049107844553619724,-0.017446471302855482
QG556,-0.106268498,-2.132962456,-0.11432107231510322,-2.1383305969251474,-0.044767706154310104,1.7227587906370154
QW947,-0.070722395,0.709150363,-0.09156620845479041,1.1824449190986988,-0.3393400246074482,-0.610408213224475
QX1211,0.015064471,0.967090986,-0.005340337743615758,-2.777448620447361,0.0021880351417311126,-3.9451017511565003
QX1212,-0.022529049,0.727977915,-0.031211844215784264,0.30517327698305746,-0.026048274051522713,-0.06809805001005374
