strain,slope_baugh,PC1_baugh,slope_nnls,PC1_nnls
MY10,-4.54303020582926e-4,-0.03167891624053025,-3.530550617277883e-4,-0.02293789495227161
MY16,-8.295250852375222e-4,-0.08140821990240622,-8.58017621727023e-4,-0.06088664044587061
MY18,-4.7557223382070407e-4,-0.008991783543051322,-8.503595419540787e-4,-0.03702660050102548
MY2147,-7.069613569591829e-4,-0.01711854803190913,-5.913993130393578e-4,-0.02461976743139363
MY23,-1.2224522227674732e-4,0.02620787148235354,-2.2761852486373176e-4,-7.927976326127742e-4
MY2453,-3.382603662135936e-4,-0.013905543784991299,-3.71111683225568e-4,-0.02774759119822651
MY2741,-5.682132836697253e-4,-0.019614115138283972,-4.7201460377431064e-4,-0.02777402154606056
NIC195,-8.891087605101099e-5,0.020527903906756073,-3.136576085727466e-5,0.020486242391677265
NIC199,4.538495055106124e-6,-0.003918878655442038,4.304207382259064e-5,-0.0067284919039767984
NIC251,2.4974811737423045e-5,0.008283766807156914,1.1986845888995494e-4,0.007448052301791606
NIC252,0.0012400586561238014,0.032019068800298096,0.0010861999718539857,0.03795682931062143
NIC256,-4.319697499024839e-4,0.002049262736772259,3.3344700001332484e-5,0.004568523211725846
NIC258,0.0019810817707484455,-0.05727961293041739,0.00182285440618526,-0.02827135550400727
NIC261,9.243629754754693e-4,-0.06801031999086443,0.0010806007060319555,-0.04470284320865652
NIC262,4.88326732124352e-4,0.03304665473001889,3.5486625115618565e-4,0.020349063635205368
NIC265,2.617798847728468e-4,0.03059803464579052,4.019181323168988e-4,0.03056511208160001
NIC266,-1.312324361281243e-4,0.003977643908615215,-3.9065746301682744e-5,-0.0038813529212641863
NIC268,-1.9748688039606417e-5,0.007465578605365382,-2.45142793258703e-5,0.006209554427920009
NIC271,-5.8668608868473605e-05,-0.0497710966881506,-2.1816154225212295e-5,-0.011220873048154403
NIC3,-1.7371191494134277e-4,-0.016429509057751424,-1.7934155407382652e-4,-0.011073077217789985
NIC501,-7.29212564405152e-4,-0.054174181170503904,-5.797687779093186e-4,-0.03304053179110655
NIC523,5.633154790300437e-4,-0.013540656576570796,6.897412153799337e-4,-0.015871727357074268
NIC526,-1.7509514450937864e-4,-0.010728151143051921,-2.44182081329127e-4,-0.011462838031465458
NIC527,-7.424926973534961e-4,-0.06138894368307802,-7.144111001740944e-4,-0.054203625596345645
NIC528,3.087764813540306e-4,0.0700670524276873,3.32685875356598e-4,0.05723829430427868
PB306,-1.0159044904395804e-4,0.0018068368131704642,-9.144196568865713e-5,0.005516817201021272
PS2025,1.975040949590599e-4,0.03595963109775557,-5.104143851238436e-4,-0.0028232575700223553
QG2075,1.3420276321904259e-4,0.03609732907679061,1.3178025846434315e-4,0.037991040649234344
QG556,-3.2912168568437276e-4,-0.005572791577901597,-2.880526066201479e-4,-6.599946808895298e-4
QW947,-7.474797811219917e-4,-0.03813197408211193,-7.420620847448051e-4,-0.0460243811687791
QX1211,-3.2659724944394294e-6,-6.471742540863931e-4,3.0290203045309953e-6,-5.837314632923943e-4
QX1212,-7.856144624893956e-5,0.02907022689454787,-9.152858835711105e-5,0.015178541454856951
QX1791,-4.570087752643027e-4,-0.021920527925317772,-0.00040574116886814033,-0.021893651521424685
QX1792,-4.8292272326626876e-4,-0.04279446381964869,-4.8336058808528024e-4,-0.04252119682324743
QX1793,-8.924366761948842e-4,-0.049610114829155165,-9.227480802234151e-4,-0.05444672028706434
QX1794,-3.099457633207765e-4,-0.02057556887269429,-2.5620044717739813e-4,-0.021336917394040106
WN2001,-1.5159485230759715e-4,-0.012566928451293233,-1.8312060653648623e-4,-0.019717226991426584
XZ1513,-3.1932722937302177e-4,0.01481937752134234,-4.498961175405212e-4,-0.006881077247527827
XZ1514,-3.4870731662698447e-4,-0.022145785311086408,-2.5588866159025487e-4,-0.0188524454554423
XZ1515,-1.246390083987242e-4,-0.018224579491918896,5.099466933544422e-6,-1.2002708029218968e-4
XZ1516,-1.4095747640718888e-4,-0.005881737923702101,-1.0218817024833173e-4,-0.007420943906403937
