strain,published_slope_baugh,published_pc1_baugh,delta_slope_baugh,delta_pc1_baugh,slope_nnls,pc1_nnls,delta_slope_nnls,delta_pc1_nnls
ECA363,-0.04013798,0.048049401,-3.8154971876836987e-4,-0.28657307612892363,-0.037733142293607504,-0.26253412885314986,-4.085910303871544e-4,0.21643478907411734
ECA369,0.010226558,3.684805729,5.009117210067548e-4,2.352729332343636,0.03288712242331683,2.453270411311526,6.27283628477883e-4,2.817844228579963
ECA372,-0.072183605,-0.849016581,-5.715339780706031e-4,-0.9642839358609009,-0.12071733495014077,-1.583324079267302,-7.657118171601561e-4,-0.9018975737857136
ECA396,-0.06761815,-0.368263227,-9.330779386082694e-4,-1.4238556640477804,-0.06585111236695133,-0.010746288062805726,-6.658728305483818e-4,0.09210563826729981
ED3017,0.008042072,-0.149423671,3.944903863107696e-5,-0.1724866911874532,0.011191003998033296,1.8950646446828094,1.1891736152673054e-5,0.3627402565040787
ED3049,-0.032966279,1.340408147,-6.565836138895992e-4,-0.7182192218920238,-0.14397979263486033,-1.0452574423815513,-0.0011711182277798747,-1.3334473829868485
ED3052,-0.088646987,-1.642941615,-5.884638658960663e-4,-0.8190782716171982,-0.07294799588332394,0.5064368304845657,-7.050256982161714e-4,0.2545606092912824
ED3077,0.100582264,6.190406368,0.0029251235182331074,5.148634587043078,0.14534878680029145,4.939077794741562,0.003448100495075439,4.822569774728735
EG4724,0.060854333,2.112567334,0.0016484807363895916,2.0071941476263997,0.05501128994188991,2.1655727377344993,0.001953220106333629,1.6050238250247013
EG4725,0.13304007,9.068871516,0.00217484045251585,7.989197355210525,0.22573669220400175,10.190115865947321,0.0025438772661868204,8.92806754734994
GXW1,-0.045601306,-0.146275055,-2.4189537119451957e-4,-0.29904966908315955,-0.022563516100857474,-0.44035712014975814,-1.450062721815167e-4,-0.40958396542034003
JU1212,-0.071210742,-0.365241929,-3.8145972786429033e-4,-0.5879516257517408,-0.02231080161723272,0.9612966559969274,-3.8245557921714806e-5,0.20799864285569092
JU1400,-0.107838182,-3.947495923,-2.577851267399155e-4,-1.1657461760249137,-0.022021109259445056,-0.6589735758154025,-6.731290732566556e-5,-0.49513987388390934
JU1581,-0.113610997,-3.915228906,-2.2687334680864484e-4,-0.9190013685359496,-0.04688042573617431,-0.22640711708956707,-2.8448892657826003e-4,-0.5251630711073787
JU1652,-0.010329181,2.131198445,-2.61433069583973e-4,2.340287346712531,-0.06701809204131055,1.141959054444235,-5.281640012949417e-4,3.2317890718771394
