strain	FULL	RESTRICTED	SYNTH	DROP3	max_ibs	nearest_extra	delta_restricted	delta_synth	is_twin
JU2017	0.0018290587878753812	0.0023040510231648235	0.0023041476570162694	0.0028659707489422288	0.9380740211428932	CX11262	4.7499223528944226e-4	4.750888691408882e-4	FALSE
JU2106	0.0015332295809021511	0.0016093424977246303	0.0016092975607642462	0.0016175082532614957	0.9168745442993568	CX11262	7.611291682247919e-5	7.606797986209508e-5	FALSE
JU2234	0.004092082466870908	0.003741227719347943	0.0037416340248588096	0.004622399122769859	0.9279948525025341	CX11262	-3.508547475229648e-4	-3.504484420120981e-4	FALSE
JU2316	0.005555803438795338	0.005454810870240661	0.00545579502795364	0.005936164794097985	0.9302565827018865	NIC260	-1.0099256855467757e-4	-1.0000841084169872e-4	FALSE
JU2464	0.0028764300528094514	0.0029971880182391324	0.0029975530125996505	0.004198828904814369	0.93692779761798906	CX11262	1.2075796542968106e-4	1.2112295979019912e-4	FALSE
JU2519	0.0025666282379831432	0.0021832765327146433	0.0021826518380534746	0.0026250577463479557	0.93118617159726	NIC260	-3.8335170526849994e-4	-3.8397639992966866e-4	FALSE
JU2526	0.004132499702054142	0.0036822102632239825	0.003683267674206237	0.0027174861764292287	0.926679686300123	NIC260	-4.5028943883015926e-4	-4.492320278479049e-4	FALSE
JU2576	0.007964968112681206	0.008918459002828321	0.008922406963235444	0.010249112842391937	0.9268405455959311	CX11262	9.534908901471153e-4	9.574388505542378e-4	FALSE
JU258	0.004113855230168605	0.004911624316838095	0.004913148439006187	0.004565850110316936	0.914461654862235	NIC260	7.977690866694895e-4	7.992932088375822e-4	FALSE
JU2592	0.002794135943003561	0.002624464043784701	0.002622322473575762	0.0027674665911966165	0.9417624682121015	CX11262	-1.696718992188601e-4	-1.718134694277994e-4	FALSE
JU2593	0.010857898578466385	0.0113761482576262	0.011376254648394826	0.012212089542191605	0.9329313737060527	CX11262	5.182496791598153e-4	5.183560699284408e-4	FALSE
JU2619	0.001121540570238608	0.001085100679310953	0.0010850233645337075	0.001009646074691039	0.9388750842692543	CX11262	-3.6439890927654874e-5	-3.6517205704900395e-5	FALSE
JU2811	0.001474977931103362	0.0015682433114360618	0.0015674714186641842	0.0018840210614431581	0.9307407772656506	CX11262	9.326538033269972e-5	9.249348756082214e-5	FALSE
JU2829	0.002671791622283335	0.002751263041300229	0.0027516163372530472	0.0033634218011875305	0.9382607472601378	CX11262	7.947141901689433e-5	7.982471496971238e-5	FALSE
JU2838	0.001828488553465647	0.0013562560971366786	0.0013555562889997496	0.001160871884975877	0.9421892707658034	CX11262	-4.722324563289685e-4	-4.7293226446589744e-4	FALSE
JU2841	0.007834477506790973	0.007960506750587154	0.007959484432629798	0.00822010064158616	0.9262771338915178	CX11262	1.2602924379618088e-4	1.2500692583882443e-4	FALSE
JU2878	0.0041772578081642675	0.0035356899930695474	0.0035360766569390496	0.0022774592574223637	0.938009354089302	CX11262	-6.4156781509472e-4	-6.411811512252179e-4	FALSE
JU2879	0.003635894403608612	0.0036715003878284164	0.0036707134737551193	0.00364639387533214	0.9294167193433708	CX11262	3.5605984219804366e-5	3.481907014650726e-5	FALSE
JU3137	0.002358844220599774	0.001721424600068636	0.0017183847174475587	0.002792152589228647	0.930356008296783	CX11262	-6.374196205311377e-4	-6.404595031522151e-4	FALSE
