rep	max_LOD	max_LOD_chrIII	sd_beta	sd_z
114	4.01887227797136	2.40383373526611	0.00869336808706788	1.19829809532009
115	2.98182190635379	2.71120760954353	0.00782815619095783	1.0790368657514
116	3.84454918835941	2.02298119946038	0.00807164089006495	1.1125989153802
117	3.35540420804513	2.8568305765497	0.00814775287088392	1.12309022792247
118	3.38465887387854	3.0249085100221	0.00819899526966532	1.13015350515224
119	7.38434138430408	2.12621878979787	0.00847361833964966	1.16800768300337
120	3.54583130083043	2.16718356818497	0.00848575171058281	1.16968015276806
121	5.37081359320863	2.0064116369019	0.00895290216905681	1.23407239970973
122	3.08190652598355	1.8355859361205	0.0078553574055797	1.08278629443604
123	4.37445087240371	2.65395125693206	0.00813681175700581	1.12158209945149
124	5.06095792378094	2.17515369723844	0.00898441928272158	1.23841673402254
125	4.37285940452815	4.37285940452815	0.0084990120377335	1.1715079627272
126	3.67287761103796	2.15026163191778	0.00870702517770301	1.20018059535135
127	4.21205601003263	3.6873899739241	0.00875471663921312	1.20675440965649
128	4.01179384420782	2.85073214622227	0.00886943045393607	1.22256661780329
129	4.37126821151442	4.14116956801457	0.00930531172965321	1.28264870534937
130	3.52469778183379	2.10634739357314	0.00808772383105436	1.11481579580695
131	4.37922692519029	4.37922692519029	0.00848157103078671	1.1691038858268
132	3.31744110915984	2.7350751626113	0.00885566237366619	1.22066881890666
133	3.76534871977183	2.58965973374667	0.00834537376971336	1.15033038896144
134	3.40383134576186	3.36472312701649	0.00798942859317802	1.10126673229709
135	2.87028223290607	2.38942609032843	0.00809170780929592	1.11536494931004
136	5.19449409517135	2.98762944422067	0.00864797510198789	1.19204110412664
137	6.59867544952257	4.25916155115304	0.00926165190196016	1.27663061341508
138	4.94585357620689	3.76706558906254	0.00883787811061175	1.21821742741703
139	5.32021520589113	3.50475520146865	0.00848156418269639	1.16910294188269
140	2.96750059293795	2.33188363067978	0.00795725280419478	1.09683160585727
141	3.6972861633976	3.6972861633976	0.0081083761991188	1.11766252828942
142	4.97003730002887	3.24423258294234	0.00976408991318382	1.34588691383118
143	3.23020553856856	1.6807243318529	0.00827996923277983	1.14131499570444
144	3.04797307058848	1.68153022005624	0.0083647497560972	1.15300118437079
145	3.65908505343803	1.90250369054396	0.00808988195100406	1.11511327211295
146	5.21378430751116	2.84306634410378	0.00877880196678889	1.21007434295164
147	3.75217235362153	3.34668796705611	0.00822688068113706	1.13399724386422
148	4.78303625058065	2.45809072597313	0.00871687544808193	1.2015383614226
149	3.1739501253327	2.75357873413474	0.00786517801821619	1.0841399724696
150	3.39252978117183	3.30656882113683	0.0085676648830182	1.18097110439094
151	4.21370174454854	1.99536119484419	0.00813535259578331	1.12138096795721
152	4.5715272735367	2.73870401413222	0.00955455602288277	1.31700466023993
153	3.94811416239985	3.09605576931707	0.00833058965494671	1.14829253937444
154	4.35161039047537	4.35161039047537	0.00778015784563431	1.0724207504318
155	4.15734529307323	2.8641017963579	0.00914224054982992	1.26017089442192
156	3.54302522956614	2.31556184579642	0.00891428104935606	1.22874884574158
157	4.33524709248459	3.27865705264936	0.00813996490428001	1.12201673080899
158	4.30925973864154	2.53296743368897	0.00794686341116656	1.09539952685722
159	3.42126430889603	2.71428614907555	0.00828633911259581	1.14219302304373
160	3.23528977598662	2.3301991714714	0.00817079569259422	1.12626646170087
161	3.86996278924093	2.03521483607805	0.00816585871434232	1.12558594621175
162	3.33363355642237	3.33363355642237	0.00807967548594571	1.11370640799344
163	3.02209277588799	3.02209277588799	0.00834507604748454	1.15028935078427
164	3.04295821240845	2.89030812496395	0.00876809071125827	1.20859789826733
165	3.50739604408706	2.41955062481365	0.0078387063730573	1.08049110799542
166	2.84943102048614	1.55850225527587	0.00743645583367759	1.02504469754178
167	4.63865284645608	2.82687665886492	0.00866628456202239	1.19456488902404
168	3.02997991811337	2.36261375131446	0.00815076427563838	1.12350532142195
169	3.90434099638268	1.88350725129761	0.008399812454789	1.15783424385226
170	4.51124014809608	3.89973835977761	0.0086980231166512	1.19893974686728
171	4.2749738212063	2.34212722109566	0.00804573696098628	1.10902830516729
172	4.86156552621091	1.65033694293197	0.00794185792839242	1.09470956867135
173	3.56154941247404	3.48622024389514	0.00809676250430997	1.11606169093505
174	4.08033083835013	3.48027776428606	0.00746063145523964	1.02837707700401
175	4.10671240433279	2.16597714574313	0.00899071922489012	1.2392851211224
