strain	nn_pool_ibs	nn_pool	mean_pool_ibs
ECA1251	0.917485	ECA363	0.814371568627451
ECA1252	0.908125	ECA363	0.8145160784313725
ECA1253	0.907235	ECA363	0.8179741176470589
ECA1255	0.942325	XZ1515	0.9048682352941176
ECA1257	0.94603	XZ1513	0.9023662745098039
ECA1260	0.937155	DL238	0.8985625490196079
ECA1261	0.91766	ECA191	0.8319835294117647
ECA1269	0.94206	DL238	0.8973874509803922
ECA1271	0.9494	DL238	0.9016444117647059
ECA1276	0.93888	ECA396	0.8208495098039216
ECA1278	0.93789	ECA396	0.8226715686274509
ECA1281	0.93022	ECA396	0.829361568627451
ECA1283	0.92637	ECA191	0.8281688235294118
ECA1284	0.92915	ECA396	0.8262130392156862
ECA1286	0.924145	ECA396	0.8304951960784314
ECA1287	0.89795	ECA396	0.8436628431372549
ECA1288	0.94331	DL238	0.9015269607843137
ECA1289	0.923965	ECA396	0.8301317647058823
ECA1293	0.925135	ECA191	0.8292514705882353
ECA1298	0.931235	ECA189	0.9023597058823529
ECA1316	0.978345	N2	0.9297267647058823
ECA1409	0.884265	ECA396	0.8135207843137254
ECA1413	0.95706	XZ1515	0.9050221568627451
ECA1493	0.883675	XZ1516	0.7452483333333333
ECA1693	0.892775	XZ1515	0.8633540196078432
ECA1713	0.88351	XZ1516	0.7451148039215686
ECA1717	0.887815	ECA36	0.7775332352941177
ECA1725	0.875205	XZ1514	0.7731077450980393
ECA1751	0.91576	ECA396	0.8367697058823529
ECA1757	0.940665	MY23	0.8968987254901961
ECA1761	0.941755	XZ1514	0.7766887254901961
ECA1769	0.89176	ECA396	0.792485
ECA1793	0.871685	XZ1514	0.7510981372549019
ECA1805	0.945355	QX1794	0.9065393137254902
ECA1807	0.94726	DL238	0.9034209803921569
ECA1815	0.943635	N2	0.9059815686274509
ECA1821	0.937925	QX1211	0.8024303921568627
ECA1825	0.90133	ECA36	0.8177635294117647
ECA1843	0.922745	ECA363	0.8103500980392156
ECA1851	0.82427	XZ1514	0.737193431372549
ECA1853	0.940975	XZ1515	0.903381568627451
ECA1875	0.944235	QX1794	0.9065269607843137
ECA1885	0.88524	ECA36	0.7598110784313725
ECA1887	0.942625	XZ1515	0.9058259803921569
ECA1889	0.9442	XZ1515	0.9057304901960784
ECA189	0.932145	XZ1515	0.8973986138613862
ECA1891	0.91693	ECA396	0.8331754901960784
ECA1901	0.95365	QX1794	0.9057855882352941
ECA191	0.918565	ECA396	0.8051793069306931
ECA1919	0.93339	ECA396	0.8270188235294118
ECA1925	0.808415	ECA36	0.7353977450980392
ECA1937	0.94102	DL238	0.9013980392156863
ECA1939	0.9542	DL238	0.9024645098039216
ECA1943	0.94969	DL238	0.9026259803921569
ECA1969	0.92828	ECA396	0.8275976470588235
ECA1977	0.95287	DL238	0.9022701960784314
ECA1997	0.918065	ECA396	0.8272083333333333
ECA2041	0.939465	N2	0.9071444117647058
ECA2043	0.94954	QX1211	0.7986907843137255
ECA2073	0.928285	ECA396	0.8281821568627451
ECA2081	0.924865	ECA396	0.8283868627450981
ECA2091	0.844255	N2	0.8194489215686275
ECA2109	0.837725	XZ1514	0.7340744117647059
ECA2111	0.9491	N2	0.9111535294117648
ECA2119	0.97144	N2	0.9257374509803922
ECA2151	0.83867	N2	0.8150267647058823
ECA2155	0.8746	XZ1514	0.774340294117647
ECA2159	0.87582	XZ1514	0.7742456862745098
ECA2183	0.84932	XZ1514	0.7691337254901961
ECA2187	0.86995	XZ1514	0.7552334313725491
ECA2191	0.906155	XZ1516	0.7251272549019607
ECA2195	0.928275	XZ1516	0.7171323529411765
ECA2199	0.829135	N2	0.8091907843137255
ECA2251	0.92222	ECA191	0.8337032352941176
ECA2281	0.837785	XZ1514	0.7333226470588236
ECA2291	0.92227	ECA36	0.7898793137254901
ECA2332	0.94072	ECA372	0.8987861764705882
ECA2334	0.801735	XZ1514	0.7506833333333334
ECA2336	0.869355	ECA36	0.7597185294117647
ECA2344	0.946015	QX1794	0.9063464705882353
ECA2350	0.941625	QX1793	0.906144705882353
ECA2360	0.939805	ECA363	0.8037182352941177
ECA2367	0.918755	ECA363	0.8133605882352941
ECA2377	0.94501	DL238	0.9016543137254902
ECA2417	0.926235	ECA396	0.8278574509803922
ECA2437	0.93503	N2	0.9025605882352942
ECA2443	0.923515	ECA396	0.8309953921568627
ECA2452	0.940105	DL238	0.9009182352941176
ECA2467	0.95381	DL238	0.8999668627450981
ECA2473	0.923705	ECA396	0.8294004901960784
ECA2475	0.937005	ECA396	0.8252635294117647
ECA2481	0.94553	DL238	0.9011940196078432
ECA2482	0.924365	ECA396	0.8296070588235294
ECA2489	0.92223	ECA396	0.8303013725490196
ECA2522	0.95677	N2	0.9157522549019608
ECA2523	0.9966	MY23	0.89841
ECA2527	0.952295	N2	0.9126209803921569
ECA2529	0.970155	N2	0.9243414705882352
ECA2533	0.95185	N2	0.9108246078431372
ECA2536	0.96984	N2	0.9242679411764706
ECA2546	0.97103	N2	0.926985
ECA2549	0.974585	N2	0.9270293137254902
ECA2551	0.964405	N2	0.9226676470588235
ECA2554	0.9808	N2	0.931551568627451
ECA2555	0.966895	N2	0.9250848039215687
ECA2559	0.978055	N2	0.929403431372549
