strain	slope_nnls	slope_baugh	resid	resid_z	rmsd	bias	rho	mean_frq	n
ECA372	-5.366091593050259e-4	-5.715339780706032e-4	3.4924818765577235e-5	0.09182325412287749	0.0034657122603707	-0.003391022725267315	0.9918458419918154	0.007132225565175605	23
ECA396	-7.539206844944669e-4	-9.330779386082694e-4	1.7915725411380248e-4	1.12906871608255	0.0028994792213631725	-0.0016913518128556855	0.9881422924901185	0.019573297969942848	23
ED3017	4.082983333710364e-5	3.9449038631076956e-5	1.3807947060266837e-6	-0.1494081072393018	0.003175764203644754	0.002798298401328069	0.6146245059288538	0.005266191066331197	23
ED3049	-0.0010265106614200372	-6.565836138895992e-4	-3.6992704753043807e-4	-2.8196630566198695	0.013906999376306876	-0.01348422150341885	0.7215138813090317	0.0072964201917121736	23
ED3052	-5.975015498639925e-4	-5.884638658960663e-4	-9.037683967926175e-6	-0.2243324451594838	0.0030939049054422587	0.002155813365265809	0.8517786561264822	0.011283413497832545	23
ED3077	0.002896273896566483	0.0029251235182331074	-2.884962166662449e-5	-0.3668097070942796	0.0033636999286338724	-0.0012581557676266016	0.9693675889328064	0.02341825998883121	23
EG4724	0.0015253567244113515	0.0016484807363895914	-1.2312401197823986e-4	-1.0447826144618264	0.0018314607277289978	5.772976096221751e-4	0.9328063241106719	0.012373919543673019	23
EG4725	0.0022710461383077703	0.00217484045251585	9.620568579192046e-5	0.5325237184433033	0.004168308087292177	-0.0027673951794746706	0.9940711462450593	0.020250589759253514	23
GXW1	-1.59796059584853e-4	-2.4189537119451954e-4	8.209931160966654e-5	0.4310779335896954	0.003401938039046438	9.216614520352315e-4	0.8369565217391305	0.009980975450397556	23
JU1212	-2.607607120680684e-4	-3.8145972786429033e-4	1.206990157962219e-4	0.7086671450858942	0.003072814195305705	-0.0025128428259706933	0.8897825670659311	0.004835244002471286	23
JU1400	-1.5740809625557214e-4	-2.577851267399155e-4	1.0037703048434337e-4	0.5625218831559707	0.0025217539401327354	-0.0019840685112901928	0.8589450876534949	0.001784221437107812	23
JU1581	-2.8133862469469073e-4	-2.2687334680864487e-4	-5.446527788604587e-5	-0.5510243263965587	0.0030614036565517677	0.0027853650239418157	0.8715415019762847	0.005474293678237833	23
JU1652	-4.3686544393719813e-4	-2.61433069583973e-4	-1.7543237435322512e-4	-1.4209574420240316	0.0035364096401555327	2.6700738390498175e-5	0.9861660079051384	0.028426894760218348	23
