strain	rmsd	mean_f	zero_frac	nn_ibs_wild	nn_partner_wild	nn_ibs	nn_partner	mean_ibs	n_private	n_private_div	n_private_nondiv	n_shared_div	pc1	pc2	pc1_abs	rel	div_frac
JU2526	0.00413249970205414	0.0226010850224852	0	0.96819	JU2316	0.96819	JU2316	0.88366222	322	45	277	40926	13.8296972700434	50.9738963959677	20.1072267916134	0.182845190748269	0.139751552795031
JU2576	0.00796496811268121	0.0136953147753211	0	0.9559	JU1581	0.963184	N2	0.91743598	1909	46	1863	7499	-8.93650169464829	-6.75182024096865	2.65897217307829	0.581583427862065	0.0240963855421687
JU258	0.00411385523016861	0.0181999231574909	0.0434782608695652	0.944074	EG4724	0.944074	EG4724	0.90565442	1570	169	1401	23003	-2.85657824427849	14.8275751463059	3.42095127729151	0.226036956011838	0.107643312101911
JU2592	0.00279413594300356	0.00593012332866958	0.608695652173913	0.963522	MY2147	0.9738	N2	0.92684398	925	20	905	8598	-8.86634567775312	-5.93515385757817	2.58881615618312	0.471176700406065	0.0216216216216216
JU2593	0.0108578985784664	0.0462531809848577	0.0869565217391304	0.962052	JU2829	0.962052	JU2829	0.91830686	1062	35	1027	11112	-10.1465011053272	-13.2127820728716	3.86897158375725	0.234749229075099	0.0329566854990584
JU2619	0.00112154057023861	0.0010761174190919	0.826086956521739	0.960612	KR314	0.967316	N2	0.92454466	1281	9	1272	8331	-10.3595876201832	-5.56762077183982	4.08205809861317	1.0422102182725	0.00702576112412178
JU2811	0.00147497793110336	0.0126902458716809	0.130434782608696	0.948334	LKC34	0.953388	N2	0.91672834	3201	1364	1837	14309	-8.52578915043943	-0.350476754746059	2.24825962886943	0.116229263484553	0.426116838487973
JU2829	0.00267179162228334	0.00539333559502587	0	0.962052	JU2593	0.962052	JU2593	0.91704118	490	2	488	11780	-8.30945360211165	-12.137901639696	2.03192408054165	0.495387608504737	0.00408163265306122
JU2838	0.00182848855346565	0.0163586320284966	0	0.95318	XZ1515	0.956266	N2	0.91784196	1306	31	1275	14687	-7.96482125060228	-4.11931397176711	1.68729172903228	0.111775150286432	0.0237366003062787
JU2841	0.00783447750679097	0.0118472568680326	0	0.957352	GXW1	0.961098	N2	0.91609772	1778	83	1695	12591	-9.11490722142462	-6.68931849897621	2.83737769985462	0.661290423096226	0.046681664791901
JU2878	0.00417725780816427	0.0105290353178999	0.217391304347826	0.95733	JU2464	0.964486	N2	0.92116168	2660	481	2179	13003	-9.40171936278891	-9.34693225296639	3.12418984121891	0.396736992710313	0.180827067669173
JU2879	0.00363589440360861	0.00481400533722601	0.391304347826087	0.951498	MY23	0.951498	MY23	0.90902508	1320	26	1294	22708	-5.61380930044987	-9.90999129981096	0.663720221120136	0.755274277635873	0.0196969696969697
JU3137	0.00235884422059977	0.0081356631124281	0	0.958292	CX11271	0.965746	N2	0.92047476	1214	98	1116	7647	-8.79470841569319	-6.3343918698222	2.51717889412319	0.289938777946248	0.0807248764415157
JU561	0.00256108290767538	8.2090574952937e-05	0.0869565217391304	0.966524	JU1652	0.977108	N2	0.92697826	699	9	690	8550	-10.0531639015311	-5.94628113881289	3.77563437996108	31.1982576458219	0.0128755364806867
JU774	0.00464886991453411	0.0112303605526586	0	0.963368	LKC34	0.96569	N2	0.92315136	854	21	833	14350	-9.1363032916323	-4.89294620633099	2.8587737700623	0.413955535330837	0.0245901639344262
JU775	0.00808172632964314	0.000176688791774945	0	0.960818	NIC258	0.960818	NIC258	0.8950541	155	8	147	27846	7.90604350624504	40.6467077675279	14.183573027815	45.7398924315308	0.0516129032258065
JU782	0.0107030924972309	0.0126709748219694	0.434782608695652	0.981612	NIC271	0.981612	NIC271	0.91060468	266	44	222	30195	-4.06389028665651	27.2885868896551	2.21363923491349	0.844693691496686	0.165413533834586
KR314	0.00193469008258738	0.00485077945748261	0.521739130434783	0.962694	CX11271	0.969656	N2	0.92360554	954	7	947	6930	-12.4034597500219	-12.9732591505657	6.12593022845187	0.398841072768833	0.00733752620545073
LKC34	0.00127927252019826	0.00473531874202694	0.0869565217391304	0.972086	ED3052	0.973798	N2	0.9282506	1068	2	1066	4404	-11.8587301905185	-1.05830824533749	5.58120066894853	0.27015552487406	0.00187265917602996
MY10	0.00305766339374571	0.00725933638635954	0.0869565217391304	0.944592	ED3077	0.950574	N2	0.91119864	3823	2752	1071	23089	-6.03838004365272	5.53117343954937	0.239149477917283	0.421204257663432	0.71985351817944
MY16	0.00279012949532398	0.0150335166053872	0	0.968324	MY23	0.968324	MY23	0.90726734	276	94	182	24299	-3.91752870743221	-8.22946760564636	2.36000081413779	0.185593934444063	0.340579710144928
MY18	0.00350345542226289	0.0051868902726572	0.0869565217391304	0.969872	MY2741	0.969872	MY2741	0.91861576	805	7	798	10802	-8.8550640997603	-11.1780068730993	2.5775345781903	0.675444290913851	0.00869565217391304
MY2147	0.00322102142341098	0.00583357532629202	0.565217391304348	0.963522	JU2592	0.970166	N2	0.92294912	1056	6	1050	5307	-9.49744988742777	-6.6875175678056	3.21992036585777	0.55215219539444	0.00568181818181818
MY23	0.00183379402893974	0.00751897487198089	0	0.968324	MY16	0.968324	MY16	0.89745726	1128	106	1022	32167	-1.64296607946019	-7.10163895959531	4.63456344210981	0.243888835933379	0.0939716312056738
MY2453	0.00248643240411667	0.00579834623362274	0.347826086956522	0.96308	JU2592	0.967612	N2	0.9208153	606	103	503	9195	-10.1931001509628	-6.65106442714946	3.91557062939284	0.428817511741304	0.16996699669967
