strain	mip_mean	wgs_mean	d_signed	d_abs	alr	rho_s	min_r	boot_partner	nn_ibs	nn_partner	mean_ibs	nn_ibs_n2	nn_partner_n2	well_posed
GXW1	0.00868627454232046	0.010687728031635976	0.002001453489315515	0.002434815568631448	0.19316057760626518	0.8181818181818181	-0.2868251891967054	JU2841	0.966286	ED3052	0.92363104	0.972562	N2	TRUE
NIC526	0.001888372593928436	0.004096955775963728	0.0022085831820352923	0.002419289763320925	1.6379897244946438	0.6393280632411067	-0.33595943006918166	NIC527	0.966852	NIC527	0.92097962	0.966852	NIC527	TRUE
QG556	0.002665363569691598	0.005005086284494508	0.00233972271480291	0.0024153321793954725	1.3085991610248746	0.8458498023715414	-0.13463071478004182	PS2025	0.95842	ECA348	0.9115834	0.95842	ECA348	FALSE
ED3077	0.02434823740511619	0.02499280574706759	6.445683419514029e-4	0.0023732839951786703	0.23197300678308597	0.9703557312252964	-0.25897380117994023	ED3017	0.968912	ED3017	0.924536	0.969698	N2	TRUE
NIC261	0.015374596540761004	0.013894632626169247	-0.0014799639145917562	0.002306731252300986	0.34065619881103937	0.9495553606449689	-0.3199309859607544	JU775	0.970174	NIC271	0.90553062	0.970174	NIC271	TRUE
ECA363	0.009981667131285366	0.011354404989519172	0.0013727378582338062	0.0022920258210418418	0.3210099077448732	0.9654150197628458	-0.5669321627195016	ECA36	0.914534	QX1211	0.79178112	0.914534	QX1211	TRUE
WN2001	0.0032108572385136955	0.005469626964380375	0.0022587697258666796	0.002282763366196878	0.7769143513923207	0.8695652173913043	-0.3171970203489197	MY18	0.944192	MY18	0.9117768	0.947122	N2	TRUE
CB4854	0.007077282359225128	0.005327281163637754	-0.0017500011955873733	0.0022721340119105588	0.5457685043919769	0.8626482213438734	-0.21354029412388115	JU2838	0.963792	JU561	0.92402734	0.974848	N2	TRUE
MY10	0.006974522114577387	0.004743163158877093	-0.0022313589557002938	0.0022313589557002938	0.8310571424927576	0.9535118413143231	-0.17569908955739	NIC195	0.944592	ED3077	0.91119864	0.950574	N2	TRUE
MY16	0.014488315284417042	0.015609898638777953	0.0011215833543609104	0.0022083481059373637	0.28868987338088614	0.9515810276679842	-0.7061588106439916	MY23	0.968324	MY23	0.90726734	0.968324	MY23	TRUE
DL226	0.007035086691280922	0.004859542386169764	-0.002175544305111157	0.0021881872468781185	0.8142952970038517	0.8761790116857752	-0.17338027715315946	MY18	0.960792	XZ1515	0.9218052	0.967026	N2	TRUE
MY2147	0.005617621842192576	0.003461856366779936	-0.00215576547541264	0.00215576547541264	7.9588995544356145	0.9074640218412464	-0.09906658861359657	JU2576	0.963522	JU2592	0.92294912	0.970166	N2	TRUE
JU1212	0.00703963193865886	0.005173142900657012	-0.0018664890380018478	0.0020501152246096862	0.8620834469525726	0.8907756279666743	-0.20378541703794917	JU2106	0.963072	JU2106	0.91764512	0.963072	JU2106	TRUE
NIC252	0.019213975935966368	0.020870442304499807	0.0016564663685334415	0.0020034503314112395	0.11125243031648266	0.9347826086956522	-0.2242861638193053	EG4724	0.954932	EG4724	0.91266816	0.954932	EG4724	TRUE
JU2811	0.012246396030586436	0.013688327669770621	0.0014419316391841865	0.0019966361207821412	0.20730015468429502	0.9762616051631089	-0.20582530201041477	JU2017	0.948334	LKC34	0.91672834	0.953388	N2	TRUE
MY2453	0.005604457097056115	0.0038346799236008283	-0.0017697771734552867	0.0019225828008845125	0.8681890643388203	0.9464702849354114	-0.2504357084446542	MY2741	0.96308	JU2592	0.9208153	0.967612	N2	TRUE
QX1794	0.0053591527572147135	0.003458563251641129	-0.0019005895055735848	0.0019005895055735848	1.5904690907981345	0.9209938914979409	-0.15569002708578192	QW947	0.939908	XZ1515	0.90078732	0.939908	XZ1515	TRUE
JU2592	0.005664249380866194	0.0038885539865812124	-0.0017756953942849821	0.0017756953942849821	8.842209784817209	0.879330770220052	-0.0917078770766553	MY2453	0.963522	MY2147	0.92684398	0.9738	N2	TRUE
NIC501	0.01093121474474541	0.009983678567397673	-9.475361773477349e-4	0.0017309379670685519	0.25765872552682917	0.9822134387351779	-0.2223524905826719	JU1793	0.962444	JU1793	0.9152203	0.962444	JU1793	TRUE
JU1400	0.0036031011145897115	0.0019090665080837466	-0.001694034606505965	0.001694034606505965	7.765339349304465	0.8589450876534949	-0.12102819898214381	DL200	0.950838	NIC528	0.91708172	0.955158	N2	TRUE
XZ1514	0.005159730896270565	0.0034736398552338878	-0.0016860910410366773	0.001688591723231106	0.663807989982102	0.9532987689099212	-0.1995635223654675	ECA36	0.858536	ECA363	0.7697692	0.858536	ECA363	TRUE
MY2741	0.006955717097614903	0.005849816526606141	-0.0011059005710087628	0.0016148959745020143	0.5021337607099967	0.9001976284584979	-0.3619471105764073	MY18	0.969872	MY18	0.91679584	0.969872	MY18	TRUE
JU1896	0.01177188273667112	0.01185694066890881	8.505793223769e-5	0.001607609431067751	0.1213540321247984	0.9347826086956522	-0.32868922033510456	JU1652	0.969328	JU2234	0.91797168	0.969328	JU2234	TRUE
EG4724	0.011797404035478071	0.013237326410895336	0.0014399223754172645	0.0015748248717877885	0.5360505285698867	0.9199604743083004	-0.2242861638193053	NIC252	0.954932	NIC252	0.91854068	0.954932	NIC252	TRUE
MY23	0.007227001940785113	0.007982708107319556	7.557061665344428e-4	0.001568034431646146	0.37344167800833983	0.8270750988142292	-0.7061588106439916	MY16	0.968324	MY16	0.89745726	0.968324	MY16	TRUE
JU2106	0.0037408354210027458	0.004602858055477542	8.620226344747963e-4	0.001549040003524294	0.6471498840571656	0.8682114419950112	-0.2634090053303036	JU1793	0.972618	JU1793	0.91107464	0.972618	JU1793	TRUE
XZ1513	0.008879388904412313	0.010060472468109864	0.0011810835636975518	0.001541454966082833	0.22803848924201625	0.9446640316205533	-0.2355306008654021	ECA372	0.941434	ECA372	0.89560768	0.941434	ECA372	TRUE
NIC199	0.005570643195641659	0.004097648228804729	-0.0014729949668369296	0.0014729949668369296	2.236881466650596	0.91352149058209	-0.13408246123626738	WN2001	0.932294	JU2007	0.90371012	0.932294	JU2007	TRUE
ECA189	0.010867242263335103	0.010164466263806807	-7.027759995282962e-4	0.001469861737477185	0.17110466480224834	0.9755374649187063	-0.13329886849024206	QX1792	0.931822	XZ1515	0.89681178	0.931822	XZ1515	TRUE
