strain	rmsd	bias	mean_f	zero_frac	n	nn_ibs_wild	nn_partner_wild	nn_ibs	nn_partner	mean_ibs	rel
JU2576	0.00796496811268121	-0.00748952627881635	0.0136953147753211	0	23	0.9559	JU1581	0.963184	N2	0.91743598	0.581583427862065
JU258	0.00411385523016861	-0.00248661803119064	0.0181999231574909	0.0434782608695652	23	0.944074	EG4724	0.944074	EG4724	0.90565442	0.226036956011838
JU2592	0.00279413594300356	-0.0020677232907795	0.00593012332866958	0.608695652173913	23	0.963522	MY2147	0.9738	N2	0.92684398	0.471176700406065
JU2593	0.0108578985784664	-0.00899325663830401	0.0462531809848577	0.0869565217391304	23	0.962052	JU2829	0.962052	JU2829	0.91830686	0.234749229075099
JU2619	0.00112154057023861	-0.000657040827770247	0.0010761174190919	0.826086956521739	23	0.960612	KR314	0.967316	N2	0.92454466	1.0422102182725
JU2811	0.00147497793110336	0.000259894344346757	0.0126902458716809	0.130434782608696	23	0.948334	LKC34	0.953388	N2	0.91672834	0.116229263484553
JU2829	0.00267179162228334	0.00246527502370633	0.00539333559502587	0	23	0.962052	JU2593	0.962052	JU2593	0.91704118	0.495387608504737
JU2838	0.00182848855346565	-0.00133481361391527	0.0163586320284966	0	23	0.95318	XZ1515	0.956266	N2	0.91784196	0.111775150286432
JU2841	0.00783447750679097	0.00227523968678271	0.0118472568680326	0	23	0.957352	GXW1	0.961098	N2	0.91609772	0.661290423096226
JU2878	0.00417725780816427	-0.00382419775459193	0.0105290353178999	0.217391304347826	23	0.95733	JU2464	0.964486	N2	0.92116168	0.396736992710313
JU2879	0.00363589440360861	-0.0034512439413265	0.00481400533722601	0.391304347826087	23	0.951498	MY23	0.951498	MY23	0.90902508	0.755274277635873
JU3137	0.00235884422059977	0.00200039733698777	0.0081356631124281	0	23	0.958292	CX11271	0.965746	N2	0.92047476	0.289938777946248
JU561	0.00256108290767538	0.00221899540056327	8.2090574952937e-05	0.0869565217391304	23	0.966524	JU1652	0.977108	N2	0.92697826	31.1982576458219
JU774	0.00464886991453411	-0.00320184194256393	0.0112303605526586	0	23	0.963368	LKC34	0.96569	N2	0.92315136	0.413955535330837
JU775	0.00808172632964314	0.00737254411477505	0.000176688791774945	0	23	0.960818	NIC258	0.960818	NIC258	0.8950541	45.7398924315308
JU782	0.0107030924972309	-0.00976054422467571	0.0126709748219694	0.434782608695652	23	0.981612	NIC271	0.981612	NIC271	0.91060468	0.844693691496686
KR314	0.00193469008258738	-0.00162531410662045	0.00485077945748261	0.521739130434783	23	0.962694	CX11271	0.969656	N2	0.92360554	0.398841072768833
LKC34	0.00127927252019826	0.000548844447759303	0.00473531874202694	0.0869565217391304	23	0.972086	ED3052	0.973798	N2	0.9282506	0.27015552487406
MY10	0.00305766339374571	-0.00266105072640051	0.00725933638635954	0.0869565217391304	23	0.944592	ED3077	0.950574	N2	0.91119864	0.421204257663432
MY16	0.00279012949532398	-0.000490219417942151	0.0150335166053872	0	23	0.968324	MY23	0.968324	MY23	0.90726734	0.185593934444063
MY18	0.00350345542226289	0.000613332214975693	0.0051868902726572	0.0869565217391304	23	0.969872	MY2741	0.969872	MY2741	0.91861576	0.675444290913851
MY2147	0.00322102142341098	-0.002706291164155	0.00583357532629202	0.565217391304348	23	0.963522	JU2592	0.970166	N2	0.92294912	0.55215219539444
MY23	0.00183379402893974	-4.91606832324355e-05	0.00751897487198089	0	23	0.968324	MY16	0.968324	MY16	0.89745726	0.243888835933379
MY2453	0.00248643240411667	-0.00207058496949942	0.00579834623362274	0.347826086956522	23	0.96308	JU2592	0.967612	N2	0.9208153	0.428817511741304
MY2741	0.00254862366045251	-0.00173568547965575	0.00716608858284528	0	23	0.969872	MY18	0.969872	MY18	0.91679584	0.35565059390329
NIC195	0.0034974889809822	0.00299223610327164	0.00569088699607319	0	23	0.9328	JU561	0.9328	JU561	0.9008145	0.614577127150043
NIC199	0.00234785622337845	-0.00201423556041959	0.00579415654464105	0.434782608695652	23	0.932294	JU2007	0.932294	JU2007	0.90371012	0.405211044142387
NIC251	0.00132832310721523	-0.000776491237765062	0.011768625898885	0.0434782608695652	23	0.91383	JU2316	0.91383	JU2316	0.8751853	0.112869855718762
NIC252	0.00190843203430267	-0.000382304994977191	0.0199072824945778	0	23	0.954932	EG4724	0.954932	EG4724	0.91266816	0.0958660246481396
NIC256	0.0161000979688119	0.014819858927308	0.0113747533604174	0	23	0.994828	NIC271	0.994828	NIC271	0.9133648	1.41542391809901
NIC258	0.00763553036600512	-0.00650304976650215	0.0316552344627342	0	23	0.96697	JU2519	0.96697	JU2519	0.89549348	0.241209092132739
NIC261	0.00375224717786907	-0.00299024221046042	0.0159956712315898	0.130434782608696	23	0.970174	NIC271	0.970174	NIC271	0.90553062	0.234578913478715
NIC262	0.00291749328470206	0.0023999714008165	0.00735174188578743	0.0434782608695652	23	0.981254	NIC271	0.981254	NIC271	0.9069457	0.39684381334745
NIC265	0.0034006876476737	0.00307347571094625	0.019375764514509	0	23	0.963036	JU2316	0.963036	JU2316	0.89132616	0.175512436948084
NIC266	0.00397868770963766	-0.00341997169545317	0.0041848208865604	0.608695652173913	23	0.951942	EG4725	0.951942	EG4725	0.91496932	0.950742652431139
NIC268	0.00138385095784655	-0.00130640557235278	0.00411886844686808	0.173913043478261	23	0.940044	ED3077	0.946586	N2	0.90896164	0.335978430896186
NIC271	0.0192613460260487	-0.0163161234766674	0.0238620208421219	0.304347826086957	23	0.994828	NIC256	0.994828	NIC256	0.91234636	0.807196764829237
NIC3	0.00278246885308486	0.00231195032624338	0.00407223141778934	0	23	0.962094	ED3017	0.971088	N2	0.92413678	0.683278666563442
NIC501	0.00363644519328849	-0.00200089528096939	0.0114033311567692	0.0434782608695652	23	0.962444	JU1793	0.962444	JU1793	0.9152203	0.31889323771237
NIC523	0.00261254507439911	0.0019374663733508	0.015887373578473	0	23	0.952244	JU561	0.95726	N2	0.91488474	0.164441596434733
