strain	depth	abs_err	rel_err	mean_input	n_obs	n_private
NIC511	30	0.000494073811861228	0.297632074600161	0.00170874083835745	20	546
NIC511	10	0.000620220049811301	0.413904624363145	0.00170874083835745	20	546
NIC511	5	0.000818049969653641	0.488897177523329	0.00170874083835745	20	546
NIC511	3	0.000794688003849479	0.487482831214952	0.00170874083835745	20	546
NIC511	1	0.00167636477551504	0.950538857208608	0.00170874083835745	20	546
NIC513	500	0.000111744119113345	0.184769313006275	0.00243539906544554	20	353
NIC513	100	0.000249946199956345	0.486808251578201	0.00243539906544554	20	353
NIC513	50	0.000361041318295068	0.530433869959554	0.00243539906544554	20	353
NIC513	30	0.000397023512461289	0.504079703536943	0.00243539906544554	20	353
NIC513	10	0.000645773752943314	0.795840303308397	0.00243539906544554	20	353
NIC513	5	0.000954162912021759	1.7229232651896	0.00243539906544554	20	353
NIC513	3	0.000936503736136009	0.976653324518806	0.00243539906544554	20	353
NIC513	1	0.00217108855302638	1.83645789962697	0.00243539906544554	20	353
NIC514	500	0.000117400186035086	0.0480970066419982	0.00272165258364065	30	405
NIC514	100	0.000296858713346856	0.114857685634898	0.00272165258364065	30	405
NIC514	50	0.000338937755834879	0.130675598922747	0.00272165258364065	30	405
NIC514	30	0.000421764446658866	0.162689419269873	0.00272165258364065	30	405
NIC514	10	0.000691417843946809	0.263196498323971	0.00272165258364065	30	405
NIC514	5	0.000960613654064947	0.363665693792902	0.00272165258364065	30	405
NIC514	3	0.00165208488228121	0.605738630256256	0.00272165258364065	30	405
NIC514	1	0.00181652676561213	0.682947535374181	0.00272165258364065	30	405
NIC515	500	0.000108668744091484	0.0314402868800896	0.00440244145279129	20	615
NIC515	100	0.00025218894700987	0.0689093059345938	0.00440244145279129	20	615
NIC515	50	0.000220604306475728	0.0668659021741394	0.00440244145279129	20	615
NIC515	30	0.000496479611021938	0.131132905340427	0.00440244145279129	20	615
NIC515	10	0.000805418637280666	0.21512706958877	0.00440244145279129	20	615
NIC515	5	0.000908934052377658	0.261600009407317	0.00440244145279129	20	615
NIC515	3	0.000921147547290881	0.24403197458236	0.00440244145279129	20	615
NIC515	1	0.00181496626047004	0.501296600088888	0.00440244145279129	20	615
NIC522	500	0.000120150971719449	0.0397800014671228	0.00496256457534942	30	433
NIC522	100	0.000316005354537841	0.129094760620511	0.00496256457534942	30	433
NIC522	50	0.000311125735150168	0.116323869405859	0.00496256457534942	30	433
NIC522	30	0.000469300774583238	0.174832552837207	0.00496256457534942	30	433
NIC522	10	0.000843547351014961	0.302085623538562	0.00496256457534942	30	433
NIC522	5	0.000884303681572621	0.266103888222963	0.00496256457534942	30	433
NIC522	3	0.00110521517121107	0.388765440441074	0.00496256457534942	30	433
NIC522	1	0.00208848071396177	0.59430816444134	0.00496256457534942	30	433
NIC523	500	8.30230417460451e-05	0.0443778738923619	0.00656955276452048	20	747
NIC523	100	0.000136670618158411	0.0637001816416604	0.00656955276452048	20	747
NIC523	50	0.000207359773526537	0.095177275144947	0.00656955276452048	20	747
NIC523	30	0.000262980490812685	0.153576813379786	0.00656955276452048	20	747
NIC523	10	0.000562260430571447	0.290128390346805	0.00656955276452048	20	747
NIC523	5	0.000885069580156567	0.478927088389023	0.00656955276452048	20	747
NIC523	3	0.00069493493140618	0.302842231565711	0.00656955276452048	20	747
NIC523	1	0.00134193649994101	0.543855517075233	0.00656955276452048	20	747
NIC526	500	6.9236156092921e-05	0.0197178659385193	0.00459035956025524	30	1162
NIC526	100	0.000146410441579042	0.0442291359912826	0.00459035956025524	30	1162
NIC526	50	0.000239764448975569	0.0676811297550473	0.00459035956025524	30	1162
NIC526	30	0.000316886597321306	0.0993104665815438	0.00459035956025524	30	1162
NIC526	10	0.000618400276736342	0.167022640822497	0.00459035956025524	30	1162
NIC526	5	0.000866603113867647	0.236680973734415	0.00459035956025524	30	1162
NIC526	3	0.00103906028601745	0.267402668629236	0.00459035956025524	30	1162
NIC526	1	0.00181500048303384	0.457884215524811	0.00459035956025524	30	1162
NIC527	500	9.33124146589926e-05	0.0271527739676732	0.00380846240957857	30	752
NIC527	100	0.000194869685929879	0.065102145243163	0.00380846240957857	30	752
NIC527	50	0.000236803816447179	0.0755093158751427	0.00380846240957857	30	752
NIC527	30	0.000354876606983307	0.106345417958154	0.00380846240957857	30	752
NIC527	10	0.000495600452964238	0.153695554266222	0.00380846240957857	30	752
NIC527	5	0.000731054974517011	0.206461203426676	0.00380846240957857	30	752
NIC527	3	0.00102213939842075	0.340143271734313	0.00380846240957857	30	752
NIC527	1	0.00188159424343313	0.565678512950749	0.00380846240957857	30	752
NIC528	500	8.3443991601683e-05	0.0449198543942024	0.00482828350226493	30	686
NIC528	100	0.000223959205848319	0.130622056772282	0.00482828350226493	30	686
NIC528	50	0.000239697429659204	0.130981403983104	0.00482828350226493	30	686
NIC528	30	0.000314675180663006	0.17407873195951	0.00482828350226493	30	686
NIC528	10	0.00053102474562204	0.286888603260066	0.00482828350226493	30	686
NIC528	5	0.000790222258097506	0.399781208302636	0.00482828350226493	30	686
NIC528	3	0.00103809859851556	0.398557874011903	0.00482828350226493	30	686
NIC528	1	0.00145091678364067	0.650874520743803	0.00482828350226493	30	686
NIC529	500	9.2459766364155e-05	0.044679717922892	0.0034145782281653	30	652
NIC529	100	0.000189132961547755	0.0881468100295561	0.0034145782281653	30	652
NIC529	50	0.000338380320202418	0.131486596734075	0.0034145782281653	30	652
NIC529	30	0.000367594047354348	0.142061998008466	0.0034145782281653	30	652
NIC529	10	0.000564166213106625	0.232054079085714	0.0034145782281653	30	652
NIC529	5	0.000811498230047665	0.353518043355216	0.0034145782281653	30	652
NIC529	3	0.00105965783040398	0.416960634250048	0.0034145782281653	30	652
NIC529	1	0.00156988087967987	0.65844270454818	0.0034145782281653	30	652
PB303	500	0.000120592913094639	0.0175415039221351	0.0102168144582955	60	347
PB303	100	0.000316887477043191	0.0442790845148352	0.0102168144582955	60	347
PB303	50	0.000430813328041304	0.0590161402009633	0.0102168144582955	60	347
PB303	30	0.000530325250429272	0.079174359841963	0.0102168144582955	60	347
PB303	10	0.000930638539084671	0.115557140734039	0.0102168144582955	60	347
PB303	5	0.00135211820632004	0.19396797163962	0.0102168144582955	60	347
PB303	3	0.00178422657484644	0.255686598739731	0.0102168144582955	60	347
PB303	1	0.00295488748747437	0.405709066985281	0.0102168144582955	60	347
PB306	500	7.07524101898258e-05	0.0106535968515189	0.00734269659816324	50	3062
PB306	100	0.000137723535298271	0.019959299723006	0.00734269659816324	50	3062
PB306	50	0.000215927811187635	0.0324982668765703	0.00734269659816324	50	3062
PB306	30	0.000240886403861855	0.0344897430485644	0.00734269659816324	50	3062
PB306	10	0.000388889752660415	0.058359022878602	0.00734269659816324	50	3062
PB306	5	0.000693273245003817	0.102369728117395	0.00734269659816324	50	3062
PB306	3	0.000949419026500073	0.139841926882541	0.00734269659816324	50	3062
PB306	1	0.00141886027172013	0.201181422508257	0.00734269659816324	50	3062
PS2025	500	6.74987573174105e-05	0.0107157133951134	0.00758011605731133	60	194
PS2025	100	0.000177390655315086	0.0278248088714654	0.00758011605731133	60	194
PS2025	50	0.000260408090810474	0.0425022289811463	0.00758011605731133	60	194
PS2025	30	0.000340459342295867	0.057004114402879	0.00758011605731133	60	194
PS2025	10	0.000489177296869265	0.082415298012874	0.00758011605731133	60	194
PS2025	5	0.000654055073552761	0.0972008350173611	0.00758011605731133	60	194
PS2025	3	0.000930028740506685	0.132035007596625	0.00758011605731133	60	194
PS2025	1	0.00157031070632282	0.224799930009182	0.00758011605731133	60	194
PX179	500	0.000159849670971039	0.0394952774904487	0.00515502840199826	60	309
PX179	100	0.000362387551703952	0.119938643558776	0.00515502840199826	60	309
PX179	50	0.000535061164106786	0.16022194293997	0.00515502840199826	60	309
PX179	30	0.000556861714364237	0.181396671560844	0.00515502840199826	60	309
PX179	10	0.00115341912168191	0.313872828858251	0.00515502840199826	60	309
PX179	5	0.0014221924095388	0.41275604701835	0.00515502840199826	60	309
PX179	3	0.00176502127786638	0.512824184963837	0.00515502840199826	60	309
PX179	1	0.00239905444947328	0.612690083389346	0.00515502840199826	60	309
QG2075	500	7.18444896589052e-05	0.018736348029083	0.00525255783103518	50	1338
QG2075	100	0.000187664181213887	0.0485995840713666	0.00525255783103518	50	1338
QG2075	50	0.000242632710180786	0.0648343315957581	0.00525255783103518	50	1338
QG2075	30	0.000260140856275261	0.0619590439223859	0.00525255783103518	50	1338
QG2075	10	0.000500223856356592	0.137335273321497	0.00525255783103518	50	1338
QG2075	5	0.000692757943599118	0.191992806008049	0.00525255783103518	50	1338
QG2075	3	0.0006952003392686	0.151971552871128	0.00525255783103518	50	1338
QG2075	1	0.00127825213703379	0.325076847015343	0.00525255783103518	50	1338
QG2811	500	7.77997565959294e-05	0.022177351014648	0.00350807256216232	10	1008
QG2811	100	0.000206673171775714	0.0589135966014123	0.00350807256216232	10	1008
QG2811	50	0.000229773892878411	0.0654986146400523	0.00350807256216232	10	1008
QG2811	30	0.00048454441878336	0.138122689937945	0.00350807256216232	10	1008
QG2811	10	0.000608123780317052	0.173349829440875	0.00350807256216232	10	1008
QG2811	5	0.000862206953745723	0.245777970229405	0.00350807256216232	10	1008
QG2811	3	0.00111248212236506	0.3171206132861	0.00350807256216232	10	1008
QG2811	1	0.00128977900352081	0.367660297974513	0.00350807256216232	10	1008
QG2813	500	8.56547078725226e-05	0.0241594209779754	0.00354539572577541	10	1138
QG2813	100	0.000188163356960821	0.0530725965490547	0.00354539572577541	10	1138
QG2813	50	0.000192251626783351	0.0542257174243375	0.00354539572577541	10	1138
QG2813	30	0.000298747309467567	0.0842634595894732	0.00354539572577541	10	1138
QG2813	10	0.000461339424925033	0.130123535031942	0.00354539572577541	10	1138
QG2813	5	0.000603836668949162	0.170315732192941	0.00354539572577541	10	1138
QG2813	3	0.00121424103079523	0.342483921320142	0.00354539572577541	10	1138
QG2813	1	0.00145093099627247	0.409243737088089	0.00354539572577541	10	1138
QG2818	500	7.42249226013627e-05	0.0366173654280646	0.00202704158897447	10	486
QG2818	100	0.000419223673366138	0.206815526453127	0.00202704158897447	10	486
QG2818	50	0.000809688927163056	0.399443667839444	0.00202704158897447	10	486
QG2818	30	0.000598053660158194	0.295037686158558	0.00202704158897447	10	486
QG2818	10	0.000881334276878145	0.434788453119028	0.00202704158897447	10	486
QG2818	5	0.0011479015262965	0.566294018110035	0.00202704158897447	10	486
QG2818	3	0.00258965134986643	1.27755215480142	0.00202704158897447	10	486
QG2818	1	0.00170857575235223	0.842891315918509	0.00202704158897447	10	486
QG2823	500	0.000153120371632275	0.054764757194476	0.00279596549818575	10	369
QG2823	100	0.000413681054341707	0.147956423142609	0.00279596549818575	10	369
QG2823	50	0.000334271443874561	0.119554924440757	0.00279596549818575	10	369
QG2823	30	0.000498682606308153	0.17835792560092	0.00279596549818575	10	369
QG2823	10	0.000841467591164153	0.300957787823264	0.00279596549818575	10	369
QG2823	5	0.00164600038911672	0.588705543821902	0.00279596549818575	10	369
QG2823	3	0.00217757078916993	0.778826058684528	0.00279596549818575	10	369
QG2823	1	0.00248221340693226	0.887783990375749	0.00279596549818575	10	369
QG2824	500	0.000105168577553591	0.0377029892279406	0.00278939627088384	10	497
QG2824	100	0.000273175402270125	0.0979335224333569	0.00278939627088384	10	497
QG2824	50	0.000386948981415514	0.13872140916461	0.00278939627088384	10	497
QG2824	30	0.000525753158504375	0.188482778152488	0.00278939627088384	10	497
QG2824	10	0.000610571899370305	0.218890340445189	0.00278939627088384	10	497
QG2824	5	0.00148864178904716	0.533678848210215	0.00278939627088384	10	497
QG2824	3	0.00204292830964439	0.732390851371246	0.00278939627088384	10	497
QG2824	1	0.0022642747227339	0.811743654484937	0.00278939627088384	10	497
QG2825	500	8.46078028243669e-05	0.0301497727087853	0.0028062501048213	10	297
QG2825	100	0.000322382632936307	0.114880221254134	0.0028062501048213	10	297
QG2825	50	0.000420434398363591	0.14982071542421	0.0028062501048213	10	297
QG2825	30	0.00058274234497164	0.2076587343268	0.0028062501048213	10	297
QG2825	10	0.00104092007468191	0.370929188704012	0.0028062501048213	10	297
QG2825	5	0.00141499097566738	0.504228391203032	0.0028062501048213	10	297
QG2825	3	0.00112560871080014	0.401107766148955	0.0028062501048213	10	297
QG2825	1	0.00282768057685504	1.00763669353524	0.0028062501048213	10	297
QG2827	500	0.000112272155757424	0.0312419287667967	0.00359363714690831	10	454
QG2827	100	0.000237871724681999	0.0661924715706609	0.00359363714690831	10	454
QG2827	50	0.000421483644817795	0.117286088602576	0.00359363714690831	10	454
QG2827	30	0.00039626556983267	0.110268664763104	0.00359363714690831	10	454
QG2827	10	0.00117494648395672	0.326951897457858	0.00359363714690831	10	454
QG2827	5	0.000423023987963246	0.117714719285775	0.00359363714690831	10	454
QG2827	3	0.0012859496194133	0.357840696443054	0.00359363714690831	10	454
QG2827	1	0.001947939784817	0.54205244023951	0.00359363714690831	10	454
QG2828	500	0.000100412126019578	0.046080704556676	0.00217904927855603	10	58
QG2828	100	0.000299009865931969	0.137220332222184	0.00217904927855603	10	58
QG2828	50	0.000554102344507839	0.254286284372155	0.00217904927855603	10	58
QG2828	30	0.000574470300579523	0.263633459891371	0.00217904927855603	10	58
QG2828	10	0.00121456844845104	0.557384571520972	0.00217904927855603	10	58
QG2828	5	0.000719161728262434	0.33003463269036	0.00217904927855603	10	58
QG2828	3	0.00156125338368267	0.716483743184209	0.00217904927855603	10	58
QG2828	1	0.00194554507364497	0.892841246313715	0.00217904927855603	10	58
QG2832	500	0.000118894001962231	0.0253626094684508	0.00468776693147944	10	274
QG2832	100	0.000395160794970971	0.0842961693162207	0.00468776693147944	10	274
QG2832	50	0.000322544348960947	0.0688055429537222	0.00468776693147944	10	274
QG2832	30	0.000456490321584426	0.0973790566504038	0.00468776693147944	10	274
QG2832	10	0.00086201646030661	0.183886373385582	0.00468776693147944	10	274
QG2832	5	0.00110082497490501	0.234829288869444	0.00468776693147944	10	274
QG2832	3	0.00113101707139757	0.241269902691307	0.00468776693147944	10	274
QG2832	1	0.00282446690035625	0.602518628089058	0.00468776693147944	10	274
QG2835	500	0.000100161581492681	0.0313447768093597	0.00319547917351168	10	454
QG2835	100	0.000175148604774777	0.0548113742147464	0.00319547917351168	10	454
QG2835	50	0.000272365865421438	0.0852347490414469	0.00319547917351168	10	454
QG2835	30	0.000429674356801432	0.134463200499987	0.00319547917351168	10	454
QG2835	10	0.000861112721403298	0.269478433325847	0.00319547917351168	10	454
QG2835	5	0.00103253941317935	0.323125064227734	0.00319547917351168	10	454
QG2835	3	0.000829232120823226	0.259501650862565	0.00319547917351168	10	454
QG2835	1	0.00199350281082093	0.623850979016136	0.00319547917351168	10	454
QG2836	500	0.000100681432643802	0.0220577719270814	0.00456444254554063	10	464
QG2836	100	0.000127049334919322	0.0278345786263532	0.00456444254554063	10	464
QG2836	50	0.000439324056164296	0.0962492246930585	0.00456444254554063	10	464
QG2836	30	0.000342685848282976	0.0750772618701868	0.00456444254554063	10	464
QG2836	10	0.000534625347367219	0.117128289387614	0.00456444254554063	10	464
QG2836	5	0.000914542838443721	0.200362438418074	0.00456444254554063	10	464
QG2836	3	0.00101958874633044	0.223376400547873	0.00456444254554063	10	464
QG2836	1	0.00163907483634784	0.359096389097763	0.00456444254554063	10	464
QG2837	500	7.4283098418332e-05	0.0263143741603408	0.00282290956135625	10	299
QG2837	100	0.00029807120307415	0.105590064646259	0.00282290956135625	10	299
QG2837	50	0.000250267126069045	0.088655736441236	0.00282290956135625	10	299
QG2837	30	0.00047742850334725	0.169126389978244	0.00282290956135625	10	299
QG2837	10	0.000662254669342534	0.234600030553	0.00282290956135625	10	299
QG2837	5	0.000777414134278801	0.27539463003742	0.00282290956135625	10	299
QG2837	3	0.00112109193992277	0.397140579800988	0.00282290956135625	10	299
QG2837	1	0.00198362801117021	0.702689182227001	0.00282290956135625	10	299
QG2838	500	7.92386775735096e-05	0.0127686511456568	0.00620572029649835	10	833
QG2838	100	0.000231502679559204	0.037304723464548	0.00620572029649835	10	833
QG2838	50	0.000314084654951669	0.0506121191328741	0.00620572029649835	10	833
QG2838	30	0.00037006989640367	0.0596336732437789	0.00620572029649835	10	833
QG2838	10	0.000613876557373898	0.0989210805585751	0.00620572029649835	10	833
QG2838	5	0.00062236363323756	0.100288701955958	0.00620572029649835	10	833
QG2838	3	0.000974586676818016	0.157046503911551	0.00620572029649835	10	833
QG2838	1	0.00162056747641589	0.261140914992626	0.00620572029649835	10	833
QG2841	500	8.81233329743669e-05	0.0186104208369566	0.00473516067940665	10	998
QG2841	100	0.000194789910843051	0.0411369167872587	0.00473516067940665	10	998
QG2841	50	0.000291281918004926	0.0615146850816951	0.00473516067940665	10	998
QG2841	30	0.000353616104980567	0.0746787973887462	0.00473516067940665	10	998
QG2841	10	0.000517810139675421	0.109354291170602	0.00473516067940665	10	998
QG2841	5	0.000668752031358082	0.141231116879835	0.00473516067940665	10	998
QG2841	3	0.00104527117238726	0.220746716565115	0.00473516067940665	10	998
QG2841	1	0.00210373950992949	0.444280490644957	0.00473516067940665	10	998
QG2843	500	0.000131892352991719	0.0414967974434133	0.00317837426301567	10	517
QG2843	100	0.00044587193231237	0.140283017484959	0.00317837426301567	10	517
QG2843	50	0.000633251637436817	0.199237592880576	0.00317837426301567	10	517
QG2843	30	0.000819398621723848	0.257804321932306	0.00317837426301567	10	517
QG2843	10	0.00125591524462835	0.395143913428474	0.00317837426301567	10	517
QG2843	5	0.0016425808245412	0.516799057824834	0.00317837426301567	10	517
QG2843	3	0.00198607925013389	0.624872682001105	0.00317837426301567	10	517
QG2843	1	0.00322663887915496	1.0151853155561	0.00317837426301567	10	517
QG2846	500	7.50666131782951e-05	0.0142722222775361	0.00525963033076123	10	1239
QG2846	100	0.000168169925969101	0.0319737159065248	0.00525963033076123	10	1239
QG2846	50	0.000397246772122465	0.0755275080454126	0.00525963033076123	10	1239
QG2846	30	0.000356575583573506	0.0677947994725132	0.00525963033076123	10	1239
QG2846	10	0.000665649658259485	0.126558259116881	0.00525963033076123	10	1239
QG2846	5	0.000949333631386675	0.18049436399255	0.00525963033076123	10	1239
QG2846	3	0.00147110453801747	0.279697325763303	0.00525963033076123	10	1239
QG2846	1	0.0016258142318758	0.309111882325101	0.00525963033076123	10	1239
QG2850	500	0.000168249395240437	0.0423626172805974	0.003971647788568	10	383
QG2850	100	0.000318106010137208	0.0800942145607284	0.003971647788568	10	383
QG2850	50	0.000331483051316606	0.0834623483660226	0.003971647788568	10	383
QG2850	30	0.000771132684066054	0.194159382985995	0.003971647788568	10	383
QG2850	10	0.000919446413989688	0.231502505493117	0.003971647788568	10	383
QG2850	5	0.00205503580236026	0.517426496950582	0.003971647788568	10	383
QG2850	3	0.0014867345537018	0.37433695857453	0.003971647788568	10	383
QG2850	1	0.0030084496625025	0.757481484426195	0.003971647788568	10	383
QG2854	500	0.000142171516906377	0.0294357836588513	0.00482988727441697	10	180
QG2854	100	0.000316606493539545	0.0655515285453042	0.00482988727441697	10	180
QG2854	50	0.000331252615064191	0.0685839226142555	0.00482988727441697	10	180
QG2854	30	0.000620134534664077	0.12839523977067	0.00482988727441697	10	180
QG2854	10	0.00131413634496122	0.272084268285506	0.00482988727441697	10	180
QG2854	5	0.00128589515140878	0.26623709381789	0.00482988727441697	10	180
QG2854	3	0.00198007424889759	0.409962828612106	0.00482988727441697	10	180
QG2854	1	0.00304663834343967	0.630788705893232	0.00482988727441697	10	180
QG2855	500	0.000180602097126012	0.0544948937247699	0.00331411045662654	10	176
QG2855	100	0.000388788618149894	0.117313114103519	0.00331411045662654	10	176
QG2855	50	0.000445233285184073	0.134344733228138	0.00331411045662654	10	176
QG2855	30	0.000670182989267259	0.202221078035354	0.00331411045662654	10	176
QG2855	10	0.00107961742633176	0.325763863474457	0.00331411045662654	10	176
QG2855	5	0.00141136314967611	0.425864849149519	0.00331411045662654	10	176
QG2855	3	0.00101272448487478	0.305579581045599	0.00331411045662654	10	176
QG2855	1	0.00308820625256016	0.931835644278335	0.00331411045662654	10	176
QG2857	500	0.000206969171821403	0.0532036958177202	0.00389012771839188	10	316
QG2857	100	0.000433011312456867	0.111310307476451	0.00389012771839188	10	316
QG2857	50	0.000448826504097176	0.115375775961082	0.00389012771839188	10	316
QG2857	30	0.000675274341755596	0.173586676489569	0.00389012771839188	10	316
QG2857	10	0.00106756776443167	0.274430003771954	0.00389012771839188	10	316
QG2857	5	0.00143715537670903	0.369436553436124	0.00389012771839188	10	316
QG2857	3	0.00170734781114687	0.438892482391983	0.00389012771839188	10	316
QG2857	1	0.00248468244711808	0.638714876987435	0.00389012771839188	10	316
QG2873	500	0.000189323613156778	0.04385482768849	0.00431705294800343	10	163
QG2873	100	0.000288249066274398	0.0667698704987411	0.00431705294800343	10	163
QG2873	50	0.000750489418246163	0.173842995970956	0.00431705294800343	10	163
QG2873	30	0.000772716017331916	0.178991554340163	0.00431705294800343	10	163
QG2873	10	0.00108698872592845	0.251789528416871	0.00431705294800343	10	163
