species,species_id_method,strain,isotype,previous_names,release,source_lab,latitude,longitude,landscape,locality_description,substrate,substrate_comments,substrate_temp,ambient_temp,ambient_humidity,associated_organism,sampled_by,isolated_by,sampling_date,notes,strain_set,issues,issue_notes,isotype_ref_strain,sequenced
Caenorhabditis elegans,,JU305,JU310,LB14.7,20160408,JU,46.63,1.06,Rural_garden,Centre,Compost,compost heap,,,,,M.-A. Felix,M.-A. Felix,2002-08-25,"Le Blanc, Indre, France - vegetable garden compost pile, 25 Aug 02.",,False,,False,False
Caenorhabditis elegans,,JU306,JU310,LB14.6,20160408,JU,46.63,1.06,Rural_garden,Centre,Compost,compost heap,,,,,M.-A. Felix,M.-A. Felix,2002-08-25,"Le Blanc, Indre, France - vegetable garden compost pile, 25 Aug 02.",,False,,False,False
Caenorhabditis elegans,,JU307,JU310,LB14.13,20160408,JU,46.63,1.06,Rural_garden,Centre,Compost,compost heap,,,,,M.-A. Felix,M.-A. Felix,2002-08-25,"Le Blanc, Indre, France - vegetable garden compost pile, 25 Aug 02.",,False,,False,False
Caenorhabditis elegans,,JU309,JU310,LB14.8,20160408,JU,46.63,1.06,Rural_garden,Centre,Compost,compost heap,,,,,M.-A. Felix,M.-A. Felix,2002-08-25,"Le Blanc, Indre, France - vegetable garden compost pile, 25 Aug 02.",,False,,False,False
Caenorhabditis elegans,,JU310,JU310,LB14.10,20160408,JU,46.63,1.06,Rural_garden,Centre,Compost,compost heap,,,,,M.-A. Felix,M.-A. Felix,2002-08-25,"Le Blanc, Indre, France - vegetable garden compost pile, 25 Aug 02.",2,False,,True,True
Caenorhabditis elegans,,JU311,JU311,F5.1,20160408,JU,44.42,4.4,Rural_garden,Rhone-Alpes,Mollusk,"live mollusk, snails",,,,,M.-A. Felix,M.-A. Felix,2002-09-08,"Merlet, Lagorce (Ardèche), France. 8 Sep 02. Wash from snail tube - snails coming from under a tree full of ivy",1,False,,True,True
Caenorhabditis elegans,,JU312,JU311,F5.2,20160408,JU,44.42,4.4,Rural_garden,Auvergne Rhone-Alpes,Mollusk,"live mollusk, snails",,,,,M.-A. Felix,M.-A. Felix,2002-09-08,"Merlet, Lagorce (Ardèche), France. 8 Sep 02. Wash from snail tube - snails coming from under a tree full of ivy",,False,,False,True
Caenorhabditis elegans,,JU3125,JU3125,S7.1,20170531,JU,38.1127,13.3722,Botanical_garden_or_zoo,Sicily,Rotting_nut/pod/seed/fruit,"rotting fruit, oranges",,,,,M.-A. Felix,M.-A. Felix,2016-04-20,,4,False,,True,True
Caenorhabditis elegans,,JU3127,JU3127,S9.1,20170531,JU,38.11196,13.37274,Botanical_garden_or_zoo,Sicily,Rotting_nut/pod/seed/fruit,"rotting fruit, banana stems",,,,,M.-A. Felix,M.-A. Felix,2016-04-20,,4,False,,True,True
Caenorhabditis elegans,,JU3128,JU3128,S18.1,20170531,JU,37.076,15.2763,Urban_garden,Sicily,Rotting_nut/pod/seed/fruit,"rotting fruit, oranges",,,,,M.-A. Felix,M.-A. Felix,2016-04-23,,5,False,,True,True
Caenorhabditis elegans,,JU313,JU311,F5.3,20160408,JU,44.42,4.4,Rural_garden,Rhone-Alpes,Mollusk,"live mollusk, snails",,,,,M.-A. Felix,M.-A. Felix,2002-09-08,"Merlet, Lagorce (Ardèche), France. 8 Sep 02. Wash from snail tube - snails coming from under a tree full of ivy",,False,,False,False
Caenorhabditis elegans,,JU3131,JU323,O146.1,20170531,JU,48.7015,2.1725,Rural_garden,Ile-de-France,Rotting_nut/pod/seed/fruit,"rotting fruit, apple",,,,,M.-A. Felix,M.-A. Felix,2008-10-23,,,False,,False,True
Caenorhabditis elegans,,JU3132,JU3132,O695.1,20170531,JU,48.7015,2.1725,Rural_garden,Ile-de-France,Rotting_nut/pod/seed/fruit,"rotting fruit, apple",,,,,M.-A. Felix,M.-A. Felix,2011-10-10,,5,False,,True,True
Caenorhabditis elegans,,JU3133,JU1440,O748.1,20170531,JU,48.7015,2.1725,Rural_garden,Ile-de-France,Rotting_nut/pod/seed/fruit,"rotting fruit, apple",,,,,M.-A. Felix,M.-A. Felix,2011-11-08,,,False,,False,True
Caenorhabditis elegans,,JU3134,JU3134,O949.1,20170531,JU,48.7015,2.1725,Rural_garden,Ile-de-France,Rotting_nut/pod/seed/fruit,"rotting fruit, apple",,,,,M.-A. Felix,M.-A. Felix,2011-11-11,,4,False,,True,True
Caenorhabditis elegans,,JU3135,JU3135,O1126.8,20170531,JU,48.7015,2.1725,Rural_garden,Ile-de-France,Rotting_nut/pod/seed/fruit,"rotting fruit, apple",,,,,M.-A. Felix,M.-A. Felix,2013-10-29,,4,False,,True,True
Caenorhabditis elegans,,JU3136,MY2453,O1143.7,20170531,JU,48.7015,2.1725,Rural_garden,Ile-de-France,Rotting_nut/pod/seed/fruit,"rotting fruit, apple",,,,,M.-A. Felix,M.-A. Felix,2013-11-13,,,False,,False,True
Caenorhabditis elegans,,JU3137,JU3137,O1183.5,20170531,JU,48.7015,2.1725,Rural_garden,Ile-de-France,Rotting_nut/pod/seed/fruit,"rotting fruit, apple",,,,,M.-A. Felix,M.-A. Felix,2014-10-20,,4,False,,True,True
Caenorhabditis elegans,,JU3138,JU2600,S175.1,20170531,JU,49.1269,1.9595,Forest,Ile-de-France,Rotting_stem,rotting stems,,,,,M.-A. Felix,M.-A. Felix,2011-11-07,,,False,,False,True
Caenorhabditis elegans,,JU3139,JU1666,P143.6,20170531,JU,48.71,-3.81,Rural_garden,Brittany,Rotting_stem,rotting stems,,,,,M.-A. Felix,M.-A. Felix,2009-08-09,,,False,,False,True
