sample,sample_info,time,rnai,replicate,depth_cutoff,strain,frq,t0_frq,ctrl_frq,delta_t0,delta_ctrl,log2fc_t0,log2fc_ctrl
A7,T2_ctrl_B,T2,ctrl,B,5,JU2610,0.00371256386926847,0.00371686617261037,0.00185628193463423,-4.30230334190051e-06,0.00185628193463423,-0.00167089867044707,1
A10,T2_pos-1_1,T2,pos-1,1,10,JU2610,0,0.00292216286634131,0.0015447526603363,-0.00292216286634131,-0.0015447526603363,-66.6750750044855,-65.7554142737137
A11,T2_pos-1_2,T2,pos-1,2,10,JU2610,0,0.00292216286634131,0.0015447526603363,-0.00292216286634131,-0.0015447526603363,-66.6750750044855,-65.7554142737137
A12,T2_pos-1_3,T2,pos-1,3,10,JU2610,0.00628274101685281,0.00292216286634131,0.0015447526603363,0.0033605781505115,0.00473798835651652,1.10435752266402,2.02401825343578
A13,T2_pos-1_4,T2,pos-1,4,10,JU2610,0,0.00292216286634131,0.0015447526603363,-0.00292216286634131,-0.0015447526603363,-66.6750750044855,-65.7554142737137
A6,T2_ctrl_A,T2,ctrl,A,10,JU2610,0,0.00292216286634131,0.0015447526603363,-0.00292216286634131,-0.0015447526603363,-66.6750750044855,-65.7554142737137
A7,T2_ctrl_B,T2,ctrl,B,10,JU2610,0.0030895053206726,0.00292216286634131,0.0015447526603363,0.000167342454331284,0.0015447526603363,0.0803392692282399,1
A10,T2_pos-1_1,T2,pos-1,1,3,JU2619,0,0.00386769632957847,0.000949949554287888,-0.00386769632957847,-0.000949949554287888,-67.0795129424107,-65.0539612240297
A11,T2_pos-1_2,T2,pos-1,2,3,JU2619,0,0.00386769632957847,0.000949949554287888,-0.00386769632957847,-0.000949949554287888,-67.0795129424107,-65.0539612240297
A12,T2_pos-1_3,T2,pos-1,3,3,JU2619,0.00281918435063958,0.00386769632957847,0.000949949554287888,-0.00104851197893889,0.00186923479635169,-0.45619670575691,1.5693550126241
A13,T2_pos-1_4,T2,pos-1,4,3,JU2619,0,0.00386769632957847,0.000949949554287888,-0.00386769632957847,-0.000949949554287888,-67.0795129424107,-65.0539612240297
A6,T2_ctrl_A,T2,ctrl,A,3,JU2619,0.000979146538702033,0.00386769632957847,0.000949949554287888,-0.00288854979087644,2.91969844141446e-05,-1.98187783241892,0.0436738859620937
A7,T2_ctrl_B,T2,ctrl,B,3,JU2619,0.000920752569873743,0.00386769632957847,0.000949949554287888,-0.00294694375970473,-2.91969844141445e-05,-2.07058910282641,-0.0450373844453957
A10,T2_pos-1_1,T2,pos-1,1,5,JU2619,0,0.00423452866525603,0.00143275183491488,-0.00423452866525603,-0.00143275183491488,-67.2102398114301,-65.6468271595996
A11,T2_pos-1_2,T2,pos-1,2,5,JU2619,0,0.00423452866525603,0.00143275183491488,-0.00423452866525603,-0.00143275183491488,-67.2102398114301,-65.6468271595996
A12,T2_pos-1_3,T2,pos-1,3,5,JU2619,0.00292525890572243,0.00423452866525603,0.00143275183491488,-0.0013092697595336,0.00149250707080755,-0.533637076860073,1.02977557497042
A13,T2_pos-1_4,T2,pos-1,4,5,JU2619,0,0.00423452866525603,0.00143275183491488,-0.00423452866525603,-0.00143275183491488,-67.2102398114301,-65.6468271595996
A6,T2_ctrl_A,T2,ctrl,A,5,JU2619,0.00141837107426421,0.00423452866525603,0.00143275183491488,-0.00281615759099182,-1.43807606506666e-05,-1.577966375875,-0.0145537240445071
A7,T2_ctrl_B,T2,ctrl,B,5,JU2619,0.00144713259556555,0.00423452866525603,0.00143275183491488,-0.00278739606969048,1.43807606506666e-05,-1.54900427884012,0.0144083729903737
A10,T2_pos-1_1,T2,pos-1,1,10,JU2619,0,0.0042170068374488,0.00110589174431573,-0.0042170068374488,-0.00110589174431573,-67.2042577764982,-65.2732485828389
A11,T2_pos-1_2,T2,pos-1,2,10,JU2619,0.000106613756790447,0.0042170068374488,0.00110589174431573,-0.00411039308065835,-0.000999277987525287,-5.3057538489921,-3.37474465533282
A12,T2_pos-1_3,T2,pos-1,3,10,JU2619,0.00270940562069898,0.0042170068374488,0.00110589174431573,-0.00150760121674982,0.00160351387638325,-0.638242967570895,1.29276622608839
A13,T2_pos-1_4,T2,pos-1,4,10,JU2619,0,0.0042170068374488,0.00110589174431573,-0.0042170068374488,-0.00110589174431573,-67.2042577764982,-65.2732485828389
A6,T2_ctrl_A,T2,ctrl,A,10,JU2619,0.00100926599748141,0.0042170068374488,0.00110589174431573,-0.00320774083996739,-9.66257468343259e-05,-2.06291290620694,-0.13190371254765
A7,T2_ctrl_B,T2,ctrl,B,10,JU2619,0.00120251749115006,0.0042170068374488,0.00110589174431573,-0.00301448934629874,9.66257468343259e-05,-1.81016148201566,0.120847711643626
A10,T2_pos-1_1,T2,pos-1,1,3,JU2800,0,0,0,0,0,0,0
A11,T2_pos-1_2,T2,pos-1,2,3,JU2800,0,0,0,0,0,0,0
A12,T2_pos-1_3,T2,pos-1,3,3,JU2800,0,0,0,0,0,0,0
A13,T2_pos-1_4,T2,pos-1,4,3,JU2800,0,0,0,0,0,0,0
A6,T2_ctrl_A,T2,ctrl,A,3,JU2800,0,0,0,0,0,0,0
A7,T2_ctrl_B,T2,ctrl,B,3,JU2800,0,0,0,0,0,0,0
A10,T2_pos-1_1,T2,pos-1,1,5,JU2800,0,0,0,0,0,0,0
A11,T2_pos-1_2,T2,pos-1,2,5,JU2800,0,0,0,0,0,0,0
A12,T2_pos-1_3,T2,pos-1,3,5,JU2800,0,0,0,0,0,0,0
A13,T2_pos-1_4,T2,pos-1,4,5,JU2800,0,0,0,0,0,0,0
A6,T2_ctrl_A,T2,ctrl,A,5,JU2800,0,0,0,0,0,0,0
A7,T2_ctrl_B,T2,ctrl,B,5,JU2800,0,0,0,0,0,0,0
A10,T2_pos-1_1,T2,pos-1,1,10,JU2800,0,0,0,0,0,0,0
A11,T2_pos-1_2,T2,pos-1,2,10,JU2800,0,0,0,0,0,0,0
A12,T2_pos-1_3,T2,pos-1,3,10,JU2800,0,0,0,0,0,0,0
A13,T2_pos-1_4,T2,pos-1,4,10,JU2800,0,0,0,0,0,0,0
A6,T2_ctrl_A,T2,ctrl,A,10,JU2800,0,0,0,0,0,0,0
A7,T2_ctrl_B,T2,ctrl,B,10,JU2800,0,0,0,0,0,0,0
A10,T2_pos-1_1,T2,pos-1,1,3,JU2811,0,0.0027038594053627,0.000973681764874277,-0.0027038594053627,-0.000973681764874277,-66.5630585523529,-65.0895606441861
