strain,delta_ctrl_pos-1_T2,vst_ctrl_pos-1_T2,log2fc_ctrl_pos-1_T2,negctrl_growth_HT115_delta_t0,negctrl_abundance_log10
"ECA1269",-0.00014739491820094,-0.00307694349272249,-0.37097019488297,0.000650068013589006,-3.18704120277078
"ECA1271",0.00117431917845467,0.0249659649200776,3.40924066165424,-0.000817167095809675,-3.91356464717963
"ECA1276",-0.000217912796685862,-0.0147624058739776,-62.9298612404064,0.00017474535657711,-3.66171726554597
"ECA1278",-0.00267284302815058,-0.0517226042649741,-66.5464135285633,0.000570413138783016,-2.57302654592352
"ECA1281",-0.00441624668926083,-0.0665038579582998,-67.270859178263,-0.000193338146978659,-2.35494667513565
"ECA1283",NA,NA,NA,0,NA
"ECA1286",0.0144508122277316,0.0965906910663129,4.38972813148764,-2.9635861601203e-05,-3.14031927395844
"ECA1287",NA,NA,NA,-0.000191492838245454,NA
"ECA1288",-0.00142218346181339,-0.0142214771937672,-0.824156586604082,0.00300733543583072,-2.48572098746249
"ECA1289",-0.000166128595042376,-0.0128894451171334,-62.5384107407382,0.000166128595042376,-3.77955560776375
"ECA1293",NA,NA,NA,0,NA
"ECA1298",-0.00183380282697164,-0.0428360230279402,-66.0028769423917,-6.14482003998677e-05,-2.736647362102
"ECA1413",-0.00806743631140652,-0.0748281266809086,-4.9122015350003,-0.00210230524797145,-2.07859622218638
"ECA1493",-0.00037535013714682,-0.0193751673315491,-63.7143473309425,-0.000670391157548499,-3.42556342111344
"ECA1793",-2.316903320933e-05,-0.00174884242286231,-0.766214641785541,3.88352312515629e-05,-4.25003342353089
"ECA1887",NA,NA,NA,-0.00178640597485268,NA
"ECA189",-0.0390710349648982,-0.163823404579855,-4.7354532638983,0.0181904738172651,-1.39152807570119
"ECA191",-0.000333682708346958,-0.0182680001551916,-63.5445872478785,0.000333682708346958,-3.47666629818211
"ECA2648",-0.00190362712604545,-0.0197325640323548,-1.19434868593864,-0.00347712586267844,-2.47093909711365
"ECA2659",NA,NA,NA,-0.0024557857119784,NA
"ECA2660",NA,NA,NA,-7.17203013429125e-05,NA
"ECA2672",-0.00200724011743336,-0.0448172350922203,-66.1332516260729,-0.000151577918043233,-2.69740067163873
"ECA347",NA,NA,NA,-0.000645708213374482,NA
"ECA348",0.000761894645942984,0.0161114744565278,2.04668462933889,0.000243296003399562,-3.61386502512497
"ECA349",-1.2295201557416e-05,-0.00350645860497552,-58.7822776114039,1.2295201557416e-05,-4.91026434740058
"ECA36",-8.86540505145877e-05,-0.00941576712144887,-61.6323687738391,8.86540505145877e-05,-4.05230141713077
"ECA363",NA,NA,NA,0,NA
"ECA369",0.000129771726641735,0.00313905883561717,0.438837102870873,-8.92824152247042e-05,-3.43767328372941
"ECA372",NA,NA,NA,0,NA
"ECA396",-0.000219155147963704,-0.00753472612615251,-1.52942716954754,-0.000261815599790816,-3.47455047563023
"ECA592",-0.00277338281594609,-0.0436550041192665,-4.85343045018197,-0.00190635996911562,-2.54170120989848
"ECA593",-0.00207830080806802,-0.0269656547492146,-2.10451591329528,0.00228712350926205,-2.56735342822507
"ECA594",-0.000732938041768365,-0.0270761366863153,-64.6798015674463,0.000732938041768365,-3.13493273648493
"ECA703",-0.00329004958316146,-0.043037039603513,-3.66924925693605,0.00120401573055603,-2.4472437715216
"ECA705",-0.00502362602802141,-0.0709370207481297,-67.4567674858964,-0.00370240650953874,-2.29898269809486
"ECA706",-0.00101024805013678,-0.022884905108224,-3.31116588091013,0.000896298652802964,-2.94945302002194
"ECA710",NA,NA,NA,0,NA
"ECA712",0.0023918095143913,0.0169840675960304,0.695839316158794,-0.000104219372151306,-2.41354356839659
"ECA722",-0.00010242237240872,-0.0101205666531343,-61.8406412025302,-0.000336014806871435,-3.98960516882497
"ECA723",-1.32524755642356e-05,-0.00364040301441369,-58.8904441064004,1.32524755642356e-05,-4.87770298788082
"ECA724",NA,NA,NA,0,NA
"ECA730",0.00010553381035088,0.00434747006695162,1.04462194008921,-0.000492940208259481,-4.0030704375674
"ECA732",-0.000117340468464011,-0.0108325924111653,-62.0368109776826,-0.00145337658681382,-3.93055218226142
"ECA733",-0.000490063962817179,-0.00806840628881329,-0.770412393517823,0.000981666518648209,-2.9264853741288
"ECA738",0.0501391294012581,0.167213773231016,3.51451373440169,0.00347615259303671,-2.31802842282819
"ECA740",-0.000174077697693041,-0.0131942335755391,-62.6058417019209,0.000174077697693041,-3.7592568658113
"ECA741",-0.000126039346703685,-0.0112269605132159,-62.1399845024138,0.000126039346703685,-3.89949385655897
"ECA742",-0.000307040388433751,-0.0175234647881274,-63.4245387625945,0.000270587330432967,-3.51280449318661
"ECA743",0.00528902508634935,0.0515161928697626,3.17254718908225,-0.00128466220307354,-3.18060228604224
"ECA744",NA,NA,NA,0,NA
"ECA745",-0.00116641408946059,-0.0315830210349897,-7.35054323373023,-5.25604745419592e-05,-2.93047802382639
"ECA760",0.0545991784432001,0.192101607576409,4.57253141906181,0.00180068862903517,-2.62063616469182
"ECA768",NA,NA,NA,-0.00318019464454124,NA
"ECA777",NA,NA,NA,-0.00574682945140505,NA
"ECA778",0.000517594104897025,0.0108221703758088,1.32798759613318,-0.000429384471995286,-3.46513784797232
"ECA807",NA,NA,NA,-0.000722810577091276,NA
