strain	Albendazole_q75.TOF	PC1	assay_norm	mtDNA_ratio	value	amsacrine_f.L1	etoposide_median.TOF
NIC526	28.1244184423576	NA	-0.0525391629960899	15.6767264364	NA	NA	NA
NIC527	1.2906315416317	NA	-0.162769437047898	16.0725300231	NA	NA	NA
NIC528	10.9062318796789	NA	0.13823963700391	9.72398051858	NA	NA	NA
NIC529	-42.2894401495486	NA	-0.0744740129960899	12.1745428348	NA	NA	NA
PB303	-13.4881787525768	6.33931850228929	NA	29.288432256	29.3718209645988	-0.0237624209829083	20.6165314068705
PB306	NA	-1.58301907706925	NA	38.5015203598	-6.69833031485271	-0.0330138649529132	25.2831757689337
PS2025	70.7190608966667	NA	0.327947006129032	21.7241948494	3.3628191710083	0.00675036704700145	-17.2063763560673
PX179	-30.4855201210311	-15.6951539570467	-0.117336795669553	16.8779573323	-16.0013279354152	0.034016054984792	26.9159226178607
QG2075	12.4679657841068	NA	NA	33.9266484284	-15.9110857749659	-0.0256828483435668	11.1206817285905
QG2811	NA	NA	NA	23.8847738657	NA	NA	NA
QG2813	NA	NA	NA	24.071920523	NA	NA	NA
QG2818	NA	NA	NA	16.4585546185	NA	NA	NA
QG2823	NA	NA	NA	20.314110402	NA	NA	NA
QG2824	NA	NA	NA	20.2811708328	NA	NA	NA
QG2825	NA	NA	NA	20.3656797109	NA	NA	NA
QG2827	NA	NA	NA	24.3138137559	NA	NA	NA
QG2828	NA	NA	NA	17.2207550387	NA	NA	NA
QG2832	NA	NA	NA	29.8000242486	NA	NA	NA
QG2835	NA	NA	NA	22.3173609747	NA	NA	NA
QG2836	NA	NA	NA	29.181648303	NA	NA	NA
QG2837	NA	NA	NA	20.4492139374	NA	NA	NA
QG2838	NA	NA	NA	37.4113805941	NA	NA	NA
QG2841	NA	NA	NA	30.0376670592	NA	NA	NA
QG2843	NA	NA	NA	22.2315931428	NA	NA	NA
QG2846	NA	NA	NA	32.6674747337	NA	NA	NA
QG2850	NA	NA	NA	26.2092433273	NA	NA	NA
QG2854	NA	NA	NA	30.51264731	NA	NA	NA
QG2855	NA	NA	NA	22.9122046572	NA	NA	NA
QG2857	NA	NA	NA	25.8004835342	NA	NA	NA
QG2873	NA	NA	NA	27.9411817469	NA	NA	NA
QG2874	NA	NA	NA	26.8537507083	NA	NA	NA
QG2875	NA	NA	NA	25.6957221898	NA	NA	NA
QG2877	NA	NA	NA	29.8852987863	NA	NA	NA
QG2932	NA	NA	NA	36.3707148844	NA	NA	NA
QG536	NA	NA	NA	27.5973881619	-19.0365006587619	0.0196049634499355	-118.017638164785
QG556	94.7236967527055	NA	0.515916689618768	23.484273433	31.8140748448628	-0.0338049117808133	8.72993297499759
QG557	-24.1056937063154	NA	NA	29.171330662	-13.4199667024917	0.0434515066486282	21.7164152876306
QW947	NA	NA	0.0607428046802128	9.57075397959	-12.6437547791885	0.0121926070609259	13.6856281579114
QX1211	NA	NA	NA	19.8057506404	-12.6816537004846	NA	NA
QX1212	91.0345908229162	NA	-0.102048978699806	22.5539833222	24.6439811783208	0.0443024581854467	44.5154983066296
QX1233	70.485640163946	NA	-0.214072954511241	15.0531147619	-0.356204868540512	-0.014521948578546	-22.8351044690559
QX1791	8.31081912736855	NA	-0.132439932121212	26.2080748987	-7.67595860562384	NA	NA
QX1792	-32.3875689850174	NA	-0.125989210381232	22.2859680256	-14.0403410768365	0.0219757321360488	-66.9292105600775
QX1793	9.52408879476	NA	0.238772694848485	34.3330076928	39.2445042733973	-0.0597740953808393	17.7727371265806
QX1794	-32.4018372712097	NA	NA	17.2900402349	-13.5174976460012	0.041441625135837	20.8028053613746
RC301	-50.2039379320584	11.1681781391195	-0.124934718636364	13.0564475818	19.3536025399488	0.0120535358231825	26.7028976002635
WN2001	-44.2456079967444	NA	0.00352565048875856	13.8975523292	37.7632106904878	0.0322382776466242	-23.1034003583357
WN2002	NA	3.19129681557571	NA	14.9500554711	-3.00555723393853	-0.00873580700669018	-11.584889955835
WN2033	73.0724466633041	NA	NA	12.5391953596	NA	NA	NA
WN2050	-49.7051742971759	NA	NA	48.5426936808	NA	NA	NA
WN2063	NA	NA	NA	44.0745738166	NA	NA	NA
WN2064	NA	NA	NA	17.4251770033	NA	NA	NA
WN2066	NA	NA	NA	27.5926979672	NA	NA	NA
XZ1513	1.35341283127255	NA	-0.1530658765625	12.7684146003	NA	NA	NA
XZ1514	NA	NA	NA	12.2883614207	NA	NA	NA
XZ1515	NA	NA	NA	13.2289416946	NA	NA	NA
XZ1516	-52.5069076032261	NA	-0.212450608929167	14.1150844031	NA	NA	NA
XZ1672	NA	NA	NA	22.6764471306	NA	NA	NA
XZ1734	NA	NA	NA	22.1000395729	NA	NA	NA
XZ1735	NA	NA	NA	16.5222749719	NA	NA	NA
XZ1756	NA	NA	NA	13.8863456283	NA	NA	NA
XZ2018	NA	NA	NA	15.265503399	NA	NA	NA
XZ2019	NA	NA	NA	15.8133716453	NA	NA	NA
XZ2020	NA	NA	NA	23.3679032711	NA	NA	NA
