replicate	trait	depth	r2
4	value	500	0.9997175310745294
5	Albendazole_q75.TOF	1	0.5945221742397021
5	Albendazole_q75.TOF	3	0.8270247191356673
5	Albendazole_q75.TOF	5	0.829946680715808
5	Albendazole_q75.TOF	10	0.9284660821142363
5	Albendazole_q75.TOF	30	0.9690917752655994
5	Albendazole_q75.TOF	50	0.978841638674487
5	Albendazole_q75.TOF	100	0.99040257331152
5	Albendazole_q75.TOF	500	0.9982121874336694
5	PC1	1	0.9181530377707762
5	PC1	3	0.9536434868709771
5	PC1	5	0.9811614700070238
5	PC1	10	0.9938433765650757
5	PC1	30	0.997871066714435
5	PC1	50	0.9972946851907842
5	PC1	100	0.9990334047606841
5	PC1	500	0.9998387196955397
5	amsacrine_f.L1	1	0.8037592013859873
5	amsacrine_f.L1	3	0.9313445184335654
5	amsacrine_f.L1	5	0.9515178281513159
5	amsacrine_f.L1	10	0.9752733414444092
5	amsacrine_f.L1	30	0.9922438844597589
5	amsacrine_f.L1	50	0.9956110460080007
5	amsacrine_f.L1	100	0.9981198762425901
5	amsacrine_f.L1	500	0.9996189184063211
5	assay_norm	1	0.7881358748987517
5	assay_norm	3	0.9041030435519463
5	assay_norm	5	0.9393710794358914
5	assay_norm	10	0.9592995462783108
5	assay_norm	30	0.9880304434650782
5	assay_norm	50	0.9940092402915198
5	assay_norm	100	0.9958321462758555
5	assay_norm	500	0.999088403606887
5	etoposide_median.TOF	1	0.7739781707879732
5	etoposide_median.TOF	3	0.9175210945914288
5	etoposide_median.TOF	5	0.9326579403358942
5	etoposide_median.TOF	10	0.9753200582137588
5	etoposide_median.TOF	30	0.9899541360440302
5	etoposide_median.TOF	50	0.9955097833641136
5	etoposide_median.TOF	100	0.9973403740725386
5	etoposide_median.TOF	500	0.9995496529809084
5	mtDNA_ratio	1	0.5464907719256337
5	mtDNA_ratio	3	0.7484889096176265
5	mtDNA_ratio	5	0.7760250657799458
5	mtDNA_ratio	10	0.8515517299684701
5	mtDNA_ratio	30	0.9443439132585921
5	mtDNA_ratio	50	0.9638792190235128
5	mtDNA_ratio	100	0.9845064329560138
5	mtDNA_ratio	500	0.9965521803643009
5	value	1	0.8948391716026046
5	value	3	0.9502512563498091
5	value	5	0.9733964261421064
5	value	10	0.9847066311886894
5	value	30	0.9953547853277415
5	value	50	0.9976352491948313
5	value	100	0.9983137823409672
5	value	500	0.9997656607076097
6	Albendazole_q75.TOF	1	0.532964287162381
6	Albendazole_q75.TOF	3	0.7968024102524525
6	Albendazole_q75.TOF	5	0.8376571585483666
6	Albendazole_q75.TOF	10	0.9045157822711198
6	Albendazole_q75.TOF	30	0.963136734577598
6	Albendazole_q75.TOF	50	0.9837710624398307
6	Albendazole_q75.TOF	100	0.99104132527759
6	Albendazole_q75.TOF	500	0.9983223361126087
6	PC1	1	0.9278486598835112
6	PC1	3	0.9785737279062107
6	PC1	5	0.979861045097411
6	PC1	10	0.9880714666209715
6	PC1	30	0.9970824274328565
6	PC1	50	0.9978212028762188
6	PC1	100	0.9993668376551719
6	PC1	500	0.9997428399291304
6	amsacrine_f.L1	1	0.7988812533169296
6	amsacrine_f.L1	3	0.9354305976883405
6	amsacrine_f.L1	5	0.9494735803786621
6	amsacrine_f.L1	10	0.9707215289764889
6	amsacrine_f.L1	30	0.9924836917103945
6	amsacrine_f.L1	50	0.9957179651188158
6	amsacrine_f.L1	100	0.9969814599539188
6	amsacrine_f.L1	500	0.9995308889569284
6	assay_norm	1	0.6638441009565678
6	assay_norm	3	0.8819726363008017
6	assay_norm	5	0.9394368421938746
6	assay_norm	10	0.9579341410607859
6	assay_norm	30	0.9899922809915576
6	assay_norm	50	0.9935518666889024
6	assay_norm	100	0.9964705690241522
6	assay_norm	500	0.9993623155642537
6	etoposide_median.TOF	1	0.7669014269235175
6	etoposide_median.TOF	3	0.8672989811551318
6	etoposide_median.TOF	5	0.9330555745652145
6	etoposide_median.TOF	10	0.9583908748741842
6	etoposide_median.TOF	30	0.9908115731661158
6	etoposide_median.TOF	50	0.9939509243750893
6	etoposide_median.TOF	100	0.9976183339751332
6	etoposide_median.TOF	500	0.9995113023089228
6	mtDNA_ratio	1	0.4908719111748849
6	mtDNA_ratio	3	0.7134763599316662
6	mtDNA_ratio	5	0.764154140902474
6	mtDNA_ratio	10	0.8407533607814802
6	mtDNA_ratio	30	0.9502856722383238
6	mtDNA_ratio	50	0.9726107986333787
6	mtDNA_ratio	100	0.983323396307755
6	mtDNA_ratio	500	0.9970206018115104
6	value	1	0.8517992066406096
6	value	3	0.961631714715181
6	value	5	0.9636457117482533
6	value	10	0.9860470360665566
6	value	30	0.9947059697534495
6	value	50	0.9973694118334253
6	value	100	0.9984820661396796
6	value	500	0.9997240455601295
7	Albendazole_q75.TOF	1	0.5833943712365274
7	Albendazole_q75.TOF	3	0.7172803255608453
7	Albendazole_q75.TOF	5	0.862140014135318
7	Albendazole_q75.TOF	10	0.9306818597315321
7	Albendazole_q75.TOF	30	0.9739536200356717
7	Albendazole_q75.TOF	50	0.9861299056401251
7	Albendazole_q75.TOF	100	0.9908975689943575
7	Albendazole_q75.TOF	500	0.9985767162050576
7	PC1	1	0.9318073201915148
7	PC1	3	0.96696812312076
7	PC1	5	0.976598395288724
7	PC1	10	0.9909090310992632
7	PC1	30	0.9978802695403339
7	PC1	50	0.9988015002092352
7	PC1	100	0.9992916568333637
7	PC1	500	0.9998250252291271
7	amsacrine_f.L1	1	0.8091179206977797
7	amsacrine_f.L1	3	0.9205278336670993
7	amsacrine_f.L1	5	0.9530623999998843
7	amsacrine_f.L1	10	0.979782554278077
7	amsacrine_f.L1	30	0.9917353229843793
7	amsacrine_f.L1	50	0.9953471788203958
7	amsacrine_f.L1	100	0.9966465055141309
7	amsacrine_f.L1	500	0.9995542185953347
7	assay_norm	1	0.769912017756378
7	assay_norm	3	0.9171151548648581
7	assay_norm	5	0.934482894643126
7	assay_norm	10	0.9521457691480197
7	assay_norm	30	0.9872375866022506
7	assay_norm	50	0.9934527273066099
7	assay_norm	100	0.9965986462266686
7	assay_norm	500	0.9994320714846406
7	etoposide_median.TOF	1	0.748660420094338
7	etoposide_median.TOF	3	0.893436569943762
7	etoposide_median.TOF	5	0.9179464292053813
7	etoposide_median.TOF	10	0.9614654880466226
7	etoposide_median.TOF	30	0.9884155216988826
7	etoposide_median.TOF	50	0.9939309652718034
7	etoposide_median.TOF	100	0.9966548919459987
7	etoposide_median.TOF	500	0.9993917539874734
7	mtDNA_ratio	1	0.49828253690285534
7	mtDNA_ratio	3	0.6943101326673021
7	mtDNA_ratio	5	0.7349344255826463
7	mtDNA_ratio	10	0.8611613577333199
7	mtDNA_ratio	30	0.949999947597066
7	mtDNA_ratio	50	0.9642919354038676
7	mtDNA_ratio	100	0.9805694858265439
7	mtDNA_ratio	500	0.9969122043715111
7	value	1	0.9053588878609
7	value	3	0.9541056101924603
7	value	5	0.9727036659981054
7	value	10	0.9859626808613083
7	value	30	0.995073055672959
7	value	50	0.9969319600766403
7	value	100	0.9989507875601178
7	value	500	0.9997717973415698
8	Albendazole_q75.TOF	1	0.5310403775056207
8	Albendazole_q75.TOF	3	0.7450922312815722
8	Albendazole_q75.TOF	5	0.851598489593292
8	Albendazole_q75.TOF	10	0.9151682714816285
