rep1_d1	rep1_d9	rep1_d13	rep1_d17	rep3_d1	rep3_d9	rep3_d13	rep3_d17	rep4_d1	rep4_d9	rep4_d13	rep4_d17	rep2_d1	rep2_d9	rep2_d13	rep2_d17	rep5_d1	rep5_d9	rep5_d13	rep5_d17	rep1_BL	rep3_BL	rep4_BL	rep2_BL	rep5_BL
DL238	0.0100842352293334	0.0190281861344899	0.0389195426394682	0.0453646102683212	0.0167784066611954	0.0312151797948018	0.117261572673482	0.250702825619772	0.0125800400314637	0.0168250066796406	0.0377016647775345	0.0552125479591976	0.01209291026549	0.0184321434417672	0.109021529443579	0.0937214830133197	0.00460477569009448	0.00973772044000746	0.0363777672879181	0.0263394074366996	0.0123934081442868	0.0210621874074906	0.0178294445979228	0.0166970096069001	0.00580321271976274
ECA189	0.00307975550839134	0.00324621917207193	0.00325405385861026	0.00304826223143598	0.00428199261950042	0.0047257946624796	0.00458416335809223	0.00450702861560844	0.00710250340134974	0.0102687594990387	0.0183313752790686	0.0303310857540153	0.00994649847096919	0.0119007263428318	0.0158949394607343	0.0103101460969252	0.0128225391874846	0.0205140787615591	0.0456061667809614	0.0178533626076168	0.00302455379732385	0.00496668596707215	0.00938947669889195	0.0100279278943403	0.0146602062995354
ECA191	0.00244755900922607	0.00348207595766154	0.00610527939137215	0.0208714147886254	0.000738395080034197	0.000705289269612879	0.000908094970669654	0.000975868186338174	0.000770700119593191	0.000707561884147647	0.000744665873738593	0.000735531349426498	0.00072142172094346	0.000679458030676161	0.00064189024181993	0.000851051023308267	0.00740682609257409	0.0068906455658619	0.0074795313581085	0.0162550372578592	0.0108160991379536	0.00111080700724243	0.000869484345100227	0.000975804611577968	0.0194401804094274
ECA36	0.00858564940691964	0.0135547043861525	0.0146935525998028	0.0155785030873157	0.000220448834812653	0.000167364081266431	0.000147746892781253	0.000200275713673632	0.000210403132009789	0.000195504830620097	0.000364815029107603	0.000274094023721822	0.00187832429396908	0.00260155601529947	0.0019583989146293	0.00242718218932827	0.000361229602579994	0.00130857990486494	0.000697399178235738	0.00325532167053078	0.0150177136934767	0.000282341493049059	0.000574817801444557	0.00245006830782637	0.000833435934889591
ECA363	0.0228089999259279	0.024446918330876	0.0136961005907453	0.0221208149975994	0.0199683945268432	0.0191714094406738	0.00943772854203631	0.0128954188520346	0.00415190356646906	0.00526607503382785	0.00281151592718898	0.00230011473604326	0.0099888307712718	0.0100310765826653	0.00384671236933123	0.0114960059133342	0.000448557542966336	0.000380657762034722	0.00038378588624074	0.000430813512961861	0.0199734524046604	0.018329467726182	0.00491481582853364	0.011380560004179	0.000439726775265038
ECA369	0.00125452849214593	0.00138241617033337	0.00182883786417685	0.00122396567482138	0.0110856135494553	0.0111167057553775	0.0159805052690319	0.00854661878060459	0.0280212845184007	0.0295813498612656	0.0579050108833821	0.0539804579070381	0.00214240786073667	0.00182525951332856	0.00174299759360922	0.00212420419280359	0.000531526925986172	0.00061991749256864	0.000269258345460307	0.000630925801901182	0.0011752154710152	0.00925661914372022	0.0229066623722939	0.00171631420717601	0.000291554580691623
ECA372	0.00430019151396833	0.00309371576594472	0.00204976920394526	0.00395246101711778	0.0185029301447963	0.0127516453380041	0.00417964408988711	0.0068264296158487	0.00926517923866353	0.00838179482058263	0.00776142490191831	0.00695798311588098	0.011514051567603	0.010734374330931	0.0173550762281681	0.012032243211412	0.0274606668196288	0.0202966401185455	0.00363593862346196	0.00815012571388747	0.00440302794778257	0.015092594474784	0.00928815882897959	0.0120021264523146	0.0221987697623329
ECA396	0.0521326683033692	0.0444559083377375	0.0265634399496217	0.0463036867732039	0.019535955618386	0.021034916495597	0.0101322118851816	0.0154606890010869	0.0187197591196662	0.0202890227081037	0.0184256621174197	0.00915097994801005	0.023396189333061	0.0154357731106822	0.00784194872162555	0.0176852225793718	0.0131906250230288	0.00964289856525295	0.00272564856611824	0.00675537299309142	0.046208707284653	0.0186317579660515	0.0167503346902627	0.0207238536292591	0.0153729389068751
ED3017	0.000719374838240947	0.000576966578301268	0.000824167613627516	0.000839053806033442	0.00248413878758899	0.00302280239984039	0.00452842253739839	0.0021610685791594	0.00238221635343074	0.00246651402501882	0.00239071439719422	0.002490629929904	0.00303254186020466	0.00323363802949597	0.00476227910265664	0.00392296092805865	0.00252840961386389	0.00280128030084477	0.00116390053658485	0.00360483601053282	0.00101249548613777	0.00289694382786052	0.00260099412107481	0.00426913657674587	0.0039200176425513
ED3049	0.0116299720158373	0.0109938241146802	0.0114809181925233	0.0125823014372465	0.0181920309507574	0.0155272524391539	0.01424992427207	0.0170076016682385	0.0422569832996999	0.0318673109877512	0.0257459044710335	0.0245034888907185	0.019216398032907	0.0156906976588242	0.016511557336956	0.0180360595141459	0.0350632963659328	0.0262634765954299	0.0189135531376034	0.0214981864202541	0.0103979909398881	0.0149181594317662	0.0337230129107721	0.0168393763872911	0.0331830443240777
