strain,delta_ctrl_fog-2_T2,delta_ctrl_mig-6_T2,delta_ctrl_pos-1_T2,delta_ctrl_rde-3_T2,delta_ctrl_ric-3_T2,delta_ctrl_rpn-12_T2,delta_ctrl_spe-19_T2,delta_ctrl_spe-43_T2,delta_ctrl_unc-39_T2,delta_ctrl_vha-5_T2,vst_ctrl_fog-2_T2,vst_ctrl_mig-6_T2,vst_ctrl_pos-1_T2,vst_ctrl_rde-3_T2,vst_ctrl_ric-3_T2,vst_ctrl_rpn-12_T2,vst_ctrl_spe-19_T2,vst_ctrl_spe-43_T2,vst_ctrl_unc-39_T2,vst_ctrl_vha-5_T2,log2fc_ctrl_fog-2_T2,log2fc_ctrl_mig-6_T2,log2fc_ctrl_pos-1_T2,log2fc_ctrl_rde-3_T2,log2fc_ctrl_ric-3_T2,log2fc_ctrl_rpn-12_T2,log2fc_ctrl_spe-19_T2,log2fc_ctrl_spe-43_T2,log2fc_ctrl_unc-39_T2,log2fc_ctrl_vha-5_T2,PC1_delta_ctrl,PC1_vst_ctrl,negctrl_growth_HT115_delta_t0,negctrl_abundance_log10
"JU1242",-0.000579278029159989,-0.00501200129499184,0.0107351778061925,0.0020326051046232,-0.000778462084509058,-0.00249935909248286,-0.00469702453561861,-0.00519824869985444,-0.000626032007868461,0.00154001100715156,-0.00380236312881549,-0.0449344247279746,0.0518600763790958,0.0120962326364614,-0.00515505356347108,-0.0180837919022696,-0.0405129032528257,-0.0478482382100056,-0.00411767969386802,0.00931661967391423,-0.143006326152492,-2.4461750672134,1.45883563190343,0.412652569770592,-0.195647348870332,-0.754309019713601,-2.09043842923159,-2.70693506758768,-0.155191223363616,0.322946477958331,0.0235243152887113,0.0442440609501091,0.000674659210886762,-2.21256119400238
"JU1491",0.00256334503718562,-0.00257277275307398,0.00953036216602125,5.28532046178455e-05,0.00161020625830727,0.00382885175347677,0.00102371835774633,0.00107514530967229,0.00142970200661434,0.00734017348391564,0.0167932432180693,-0.0226596785832596,0.0511277592224927,0.000387443444699237,0.0109626676465544,0.0239717218019246,0.00715319749652212,0.00749484077908237,0.00980987541419949,0.041482021046954,0.632730982784078,-1.16011114135027,1.60725484479433,0.0162832385731062,0.428467970039481,0.865740039773713,0.286705025831451,0.299708157894581,0.386302254175776,1.36533220110493,0.0506253314625,0.0713937096556474,-0.000447504727747003,-2.3327581554517
"JU1543",0.000672525674858234,-0.00837914909387144,-0.000214658760252558,-0.000381561765992217,0.00107639011091833,0.00304387058469204,0.00308864771390257,-0.00168838388450089,0.00407551603939612,-0.00167182867202726,0.00316861357988994,-0.0535705663966191,-0.00103131785313479,-0.00184019147507508,0.00502839113387968,0.0136803321181701,0.0138700599165573,-0.00840318404385132,0.0179789041346963,-0.00831730328179302,0.0851116006936736,-2.04183042211604,-0.0282584564297181,-0.0506191626270658,0.133909639384649,0.35054911803987,0.355119954947393,-0.238822500869954,0.452348622266885,-0.236278027573092,0.138766067007069,0.140638024066793,-0.000259250183791637,-1.95631955323068
"JU1568",0.000744565242127078,0.000582722072871505,0.000777701942665483,-0.000236973191887179,0.0017463144930511,-0.00144813241962654,0.00172923096761862,-0.000354789268802135,0.00444425982059644,0.00188589375630773,0.00682011219660704,0.00540720313651386,0.00710520137468863,-0.00236892280866095,0.014900662730097,-0.0169310943196076,0.0147711021396913,-0.00359030471729719,0.0329101044626585,0.0159499270320555,0.358846329450369,0.288081916814642,0.372916608670432,-0.135870688957785,0.733219997321987,-1.14960118173812,0.727585690037913,-0.208502778110891,1.4252587251635,0.778448356180729,0.0116250823152637,0.00184556515475813,-0.00015637014912555,-2.58039359180241
"JU1586",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"JU1652",-0.00820935451425693,-0.0236547361646921,0.0165808395051342,0.00843296387220227,0.00815274273166277,0.0080445133416326,-0.00159026514407861,0.000642589035178547,0.00788843329111068,0.00298377448594732,-0.0290390222392197,-0.12537460319783,0.0467786249589223,0.025224757383349,0.0244404396653802,0.0241366495220416,-0.00520514299425687,0.00205677335240184,0.0236976916551802,0.00934370766281861,-0.582359467056617,-4.53984993993182,0.740554732390652,0.42349862630172,0.411251618403845,0.406493503281193,-0.0959406966865894,0.037027217426965,0.399603965877442,0.164420537814831,0.121799408541229,0.136654252319152,0.00899615841672512,-1.60715078624324
"JU1666",0.00184122121345751,-0.00166108975961435,-0.00061949576831253,0.00258203705993559,0.00485499406342602,0.00409745916737833,-0.00100533936288255,0.00120389414697418,0.00109159567409082,0.003306801025191,0.018447164372524,-0.0407677607310741,-0.00848842009839157,0.0244176809940087,0.0400424263229428,0.0351903634555939,-0.0151573374023453,0.0127833750105505,0.0117223803182329,0.0297739949728324,1.07223038445952,-7.58820715989775,-0.668884889751214,1.34842835004571,1.96627831681427,1.78823084363821,-1.32946291112749,0.7832431784003,0.725733605303179,1.5755044044703,0.112988938607005,0.133728301258878,-0.00793205903283259,-2.77960689912479
"JU1792",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"JU1793",0.000652837298264682,0.174470817756258,0.0366771381533617,-0.00197267576670147,-0.00352989641578396,-0.00307133440008392,-0.00484537537029295,-0.00217877682255605,-0.00310960442495655,-0.00263894096544785,0.00340486868086722,0.347825601271806,0.120508204037028,-0.0111160518499739,-0.021053256455516,-0.0179943708432572,-0.0306267583761298,-0.0123629914719182,-0.018245013481326,-0.01521690830611,0.101442696898229,4.35530094770872,2.34839050153629,-0.358671820675135,-0.722319103805426,-0.605397586082527,-1.1223757904787,-0.401854396625129,-0.614801098818001,-0.503204053849075,-0.166963246929423,-0.156363212906385,-0.00268211422668784,-2.04802009944286
"JU1808",-0.000278840756677607,9.27574852330882e-06,-0.000278840756677607,-0.000278840756677607,-0.000278840756677607,-0.000278840756677607,-0.000278840756677607,-0.000278840756677607,0.000432131889801673,0.00115752825564871,-0.0166993017195869,0.00027550843626209,-0.0166993017195869,-0.0166993017195869,-0.0166993017195869,-0.0166993017195869,-0.0166993017195869,-0.0166993017195869,0.00996792919090801,0.0212092363463415,-5.05028421565546,0.0458084379627983,-5.05028421565546,-5.05028421565546,-5.05028421565546,-5.05028421565546,-5.05028421565546,-5.05028421565546,1.32364316073338,2.32939180265186,-0.00762716520877067,-0.035711608304888,-0.000608706267764844,-3.55464374740855
"JU1896",-0.00263237870096201,-0.00390189566115655,0.000331420123661524,-0.000642692061112012,-0.000528714801527267,-0.00133833349951663,-0.00350487545785962,-0.000471794183586545,-0.00147288623809153,0.00151917688004664,-0.0268680244647846,-0.0625058491552828,0.00260408067833602,-0.00538535746934003,-0.00439405619698554,-0.0118525592457957,-0.0425791646316153,-0.00390524733736074,-0.0132008933147061,0.0111887705401548,-1.61327298890912,-8.81594037326464,0.117362272105755,-0.259024606025605,-0.209563856396363,-0.604355070538362,-3.26890409995741,-0.185483699750621,-0.681867299432341,0.473505744960843,0.0826421390505939,0.1140615783886,-0.0103396660874004,-2.40872434806037
"JU2001",0.0034136720083843,0.0525824697878011,0.0090600979492184,8.08515580348081e-06,0.000794417678713679,0.00324324213023272,0.00269646598204068,0.000485522996843575,0.00172621879752072,0.004515254820389,0.0399313481777335,0.209691062918276,0.0752013107010897,0.000176359507211152,0.013443748668613,0.0385552734384893,0.0339169186994344,0.00889951069844288,0.0245875287357951,0.0481888298866882,2.89464201494715,6.64596135047274,4.17657179935894,0.0218276872387175,1.3207165306967,2.83091297251021,2.60508602706543,0.937698453882533,2.08910621191968,3.25000132697078,-0.167087167842378,-0.158681723329892,-0.0125451686740885,-3.28259862637104
"JU2007",0.000572203689889098,-0.0123048273812111,-0.00157444091255939,-0.00293154491210821,-0.000472361047371544,-0.00396092912315267,-0.00238387004381641,0.000629340085243036,0.00210406179034542,-0.00212843346820754,0.00233071948724195,-0.0707472597129686,-0.00664913476265387,-0.0126958745815657,-0.00195719187147005,-0.017509687443995,-0.0102172400148402,0.00256111995629543,0.0083709336259043,-0.00907935755350763,0.0539179037487916,-2.46503923436401,-0.159684468780926,-0.313108729620496,-0.0460802102266819,-0.44143870505891,-0.249216394704273,0.0591927622880149,0.189066050552268,-0.220357688442243,0.147558467323151,0.147275134144917,0.00899754199026811,-1.82339939663914
"JU2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"JU2250",-9.00041238140279e-05,-0.00702755116262345,0.00713311801869726,-0.00539087897368421,-0.0020199203435061,0.000937388074305753,-0.00591705215241832,-0.00313621167381084,-0.00322344708970027,0.00397498582148385,-0.00054044215588217,-0.0839289896390772,0.0353522752425127,-0.0434621406416302,-0.0131051800538215,0.00543641911945807,-0.0505986682606073,-0.0215078594164929,-0.022212398518722,0.0211572958511399,-0.0185733219853534,-9.66336272161112,1.00989900144492,-2.09640835781839,-0.488176371996998,0.180431901777614,-2.65236514264287,-0.851322014767498,-0.883958541942121,0.646099351531218,0.0419125228225648,0.0848354223512813,-0.00129950479059919,-2.15319598391844
"JU2466",-0.0025163000092689,-0.00125612816319855,-0.0156276704375613,0.00370964647283548,0.00529406109688745,0.00514756374575352,0.0127980017139802,0.00503164266777426,-0.00165518708237968,-0.00313087104816515,-0.00721985752033894,-0.00356908638060169,-0.0508788142729196,0.0101698932957588,0.014360297703206,0.0139764226679376,0.0331549220525932,0.0136721611370218,-0.00471736510800086,-0.00902714023985174,-0.11577959704964,-0.0566356869242508,-0.940473033294426,0.155346116270381,0.216915459520869,0.211331638671311,0.477384842906878,0.206897880406666,-0.0751037951330773,-0.145527379863945,0.0452975264647051,0.0391327574439234,0.00808095726950035,-1.48650055315454
"JU2519",0.00155202503335528,0.00420400489453283,-0.00114904371806639,-0.000780726770286523,0.000841362013455678,-1.47018210399389e-05,0.00194478015064595,7.31735956382776e-05,-0.00103969024559503,0.00246805521850685,0.00948807893076911,0.0236785841900047,-0.00784581107115639,-0.00523863318860211,0.00527755188335519,-9.53938829367229e-05,0.0117306036740034,0.000473068457899725,-0.00706172109315058,0.0146343959653855,0.332409346001467,0.767119916970617,-0.307279405279935,-0.201483660235191,0.189625269642241,-0.00354545518137243,0.405650219506186,0.0175179124889933,-0.275050888127743,0.497788991205624,-0.111290680675973,-0.102441834935501,-0.00721058329050455,-2.223222401287
