strain A10 A13 mean_rep
JU394 0.00187064280896224 0.00147646404670218 0.00167355342783221
JU397 -0.063671731894575 -0.0425879867126588 -0.0531298593036169
JU406 -0.000310248273526566 -2.36454754764624e-05 -0.000166946874501514
JU642 -0.000372039753300481 -2.8264042657299e-05 -0.00020015189797889
JU751 0 -2.19744363173311e-05 -1.09872181586656e-05
JU778 -0.00574337500518578 -0.00703205465505834 -0.00638771483012206
JU782 -0.00602219045752762 -0.00199948396798454 -0.00401083721275608
JU792 -0.00201129069987954 -0.000146026380830613 -0.00107865854035508
JU847 -0.00111217980030923 -0.00109837521120513 -0.00110527750575718
MY10 -0.000310654309532107 -0.000609126678116391 -0.000459890493824249
MY18 -0.00167022271552094 -0.00180390315158107 -0.001737062933551
MY2147 -0.00037557047197274 0.000512847910131067 6.86387190791634e-05
MY2585 -0.00118433819497617 -0.00396410487257756 -0.00257422153377686
MY2713 -0.00555175194163657 -0.011617297900406 -0.00858452492102128
MY518 -0.0149558376262327 -0.0131604431189802 -0.0140581403726065
MY772 -0.000396746150024518 -0.000868479742434169 -0.000632612946229344
MY795 -0.00894464368581939 -0.00980856902441268 -0.00937660635511604
NIC1049 -0.00052839374069101 -9.01088645067972e-06 -0.000268702313570845
NIC1119 -0.000922796688006358 0.000195730798588974 -0.000363532944708692
NIC166 -0.00412125302076049 -0.00528383582737956 -0.00470254442407003
NIC1780 -0.0081396910629483 -0.00508676150484103 -0.00661322628389467
NIC1785 0.00218133042001649 0.00274378948156405 0.00246255995079027
NIC1788 -0.00204547990745529 0.000331222244216601 -0.000857128831619343
NIC1789 -0.000289403235895495 0.000215557682336989 -3.69227767792531e-05
NIC1794 0.0012978145048806 -0.00284374154451159 -0.000772963519815495
NIC1799 0.00027025887900553 -0.000525357645795911 -0.00012754938339519
NIC195 0.00134342988274795 -0.0013473543571122 -1.96223718212506e-06
NIC207 -6.46355321589936e-06 -1.79561642403127e-05 -1.2209858728106e-05
NIC236 -0.00906156192459984 -0.00323318496288974 -0.00614737344374479
NIC242 -0.00350824433958854 -0.00121359786805531 -0.00236092110382193
NIC251 -0.00115443236014716 -0.000181896434581976 -0.00066816439736457
NIC255 -6.48811767200658e-05 -0.0001124629384618 -8.86720575909329e-05
NIC259 -0.00460188965327387 -0.00702447598088125 -0.00581318281707756
NIC262 -1.16997706871435e-05 -0.000747234781888424 -0.000379467276287784
NIC265 -0.0104488994946228 -0.0125927681062848 -0.0115208338004538
NIC266 -0.000517457280410169 0.000277453113796025 -0.000120002083307072
NIC268 0.00339065471307 0.0034749765041368 0.0034328156086034
NIC269 0.0071283005717137 0.0066336998376616 0.00688100020468765
NIC271 -1.97710198256092e-05 -0.00316705971654537 -0.00159341536818549
NIC272 0 -8.89504767296842e-06 -4.44752383648421e-06
NIC276 -0.00092021395822678 -2.09099373543112e-05 -0.000470561947790545
NIC501 -0.000281398021576592 0.00608108005525432 0.00289984101683887
NIC511 -0.0140440854934268 -0.00852203057633287 -0.0112830580348799
NIC515 0.00664278521884869 -0.0067595747221263 -5.83947516388074e-05
NIC526 -8.66205855802333e-05 -8.57521398250563e-05 -8.61863627026448e-05
NIC527 -0.00979061297686306 -0.0109878054228613 -0.0103892091998622
NIC528 7.90949080703928e-07 -8.8457434753166e-06 -4.02739719730634e-06
NIC529 -0.00233063574987416 -0.000409874162495033 -0.0013702549561846
PB306 -0.0300710382327165 -0.0189148500470951 -0.0244929441399058
PX179 -0.0161050560204888 -0.0149989289747084 -0.0155519924975986
