strain	rep	ctrl_frq_boot	ctrl_frq_boot_se	pos1_frq_boot	pos1_frq_boot_se	delta_freq	direction
JU2572	B	0.007757432117004076	0.0044969206350924905	0.0023282429043583715	0.002819438758835921	-0.005429189212645704	decrease
JU2575	A	1.7663543117840723e-5	1.1015318550668694e-4	0	0	-1.7663543117840723e-5	decrease
JU2575	B	0	0	0	0	0	increase
JU2581	A	0.0032970408517948267	0.002624766556767869	8.090217456260907e-5	3.644681646039224e-4	-0.0032161386772322177	decrease
JU2581	B	0.003981674938259924	0.002668116601942925	0	0	-0.003981674938259924	decrease
JU2586	A	0.008932048843464473	0.002595877018092534	3.331636383272899e-4	9.080585289630041e-4	-0.008598885205137184	decrease
JU2586	B	0.010787234613028234	0.002555981433036496	0.0017662529387806186	0.001776339264625714	-0.009020981674247615	decrease
JU2592	A	1.1178098466238524e-4	4.352057139897494e-4	0	0	-1.1178098466238524e-4	decrease
JU2592	B	1.3157140164112054e-4	4.6917768428931834e-4	2.598609378248745e-4	8.891247814962752e-4	1.2828953618375396e-4	increase
JU2610	A	9.012755584219689e-4	0.0015827581156069971	0.014068261384047969	0.003901700139445486	0.013166985825626	increase
JU2610	B	0.0010787992277852354	0.0017270133377073548	0.017447097571626338	0.003745741118614271	0.0163682983438411	increase
JU2619	A	4.8762201223153074e-5	2.3553929352228484e-4	4.38030253995146e-5	2.713469529390393e-4	-4.9591758236384765e-6	decrease
JU2619	B	3.227843573503888e-4	8.24785080315784e-4	0	0	-3.227843573503888e-4	decrease
JU2811	A	1.3193160212436684e-4	3.937566830731108e-4	0	0	-1.3193160212436684e-4	decrease
JU2811	B	0	0	2.357025011503558e-6	2.357025011503558e-5	2.357025011503558e-6	increase
JU2825	A	0	0	1.2086411591867376e-5	8.487457113505586e-5	1.2086411591867376e-5	increase
JU2825	B	0	0	6.141359757770654e-4	0.001076479907388373	6.141359757770654e-4	increase
JU2838	A	6.443193513685572e-7	6.4431935136855724e-6	0	0	-6.443193513685572e-7	decrease
JU2838	B	0	0	3.86725822379371e-5	1.8763861027195253e-4	3.86725822379371e-5	increase
JU2841	A	0.00698811456959903	0.0017079247501196602	0	0	-0.00698811456959903	decrease
JU2841	B	0.004805325616863314	0.0018219630621695176	0	0	-0.004805325616863314	decrease
JU2853	A	0	0	0	0	0	increase
JU2853	B	0	0	0	0	0	increase
JU2907	A	8.46030347009024e-5	5.669246283862674e-4	0	0	-8.46030347009024e-5	decrease
JU2907	B	8.079198506107853e-5	6.028202186515334e-4	0	0	-8.079198506107853e-5	decrease
JU310	A	0	0	0	0	0	increase
JU310	B	0	0	0	0	0	increase
JU3128	A	0	0	0	0	0	increase
