strain	pellet_fog-2_S10	pellet_rpn-12_S11	pellet_spe-19_S12	pellet_spe-43_S13	pellet_vha-5_S14	pellet_unc-39_S15	pellet_mig-6_S16	pellet_pos-1_S17	pellet_rde-3_S18	supernatant_ric-3_S20	supernatant_fog-2_S21	supernatant_rpn-12_S22	supernatant_spe-19_S23	supernatant_spe-43_S24	supernatant_vha-5_S25	supernatant_unc-39_S26	supernatant_pos-1_S27	supernatant_rde-3_S29	pellet_ric-3_S30	pellet_fog-2_S31	pellet_rpn-12_S32	pellet_spe-19_S33	pellet_spe-43_S34	pellet_vha-5_S35	pellet_unc-39_S36	pellet_mig-6_S37	pellet_pos-1_S38	pellet_rde-3_S39	supernatant_ric-3_S41	supernatant_fog-2_S42	supernatant_rpn-12_S43	supernatant_spe-19_S44	supernatant_spe-43_S45	supernatant_vha-5_S46	supernatant_unc-39_S47	supernatant_pos-1_S49	supernatant_rde-3_S50	supernatant_ric-3_S55	pellet_ric-3_S9
ECA349	0.000283098709119372	0.0016522696735708	0.000972975771921534	-0.000508715391396761	0.0021015362409055	0.00101219277309696	0.00955804403714383	0.0015768751781349	-0.00127699017527059	0.000701678480173678	0.00532538765927684	0.00644898440247093	-0.000254430007746663	0.011175090162478	-0.00236821485968055	0.00609474568581452	0.00376822950003982	0.00505371227084113	0.000760489482174361	-0.00127699017527059	0.00100198912753318	0.00326187712055935	0.000940250124545929	0.00116100812392121	-0.0011814323529122	0.00774828880066439	0.000723908567992704	-0.00127699017527059	-0.000148265682179222	-0.00137834766142508	0.00760675671359733	0.00200122594278232	0.00121462531680695	0.0010269329004572	0.001506277200388	0.00148074341368788	-0.00180296098558231	0.00423327801410396	-0.000829280818581061
ECA363	-0.00134080235352256	-0.00245075437121822	-0.000964739532729623	-0.00112819308198837	-0.00186354827306936	-0.000396018826840443	0.00165323865555124	-0.00200056387430428	-0.00116457813010551	0.000615361019713551	0.000474176307749595	-1.8087621523779e-05	0.00197060635197056	0.00174250749392296	0.000382078390291375	0.00115356671199012	0.000665991718450587	0.000393199730891994	-0.00138142050402161	-0.00128974993583342	-0.00213628741495227	-0.00149800368623757	-0.000661070366770881	-0.00132559460841897	0.000214328791783522	0.00126439104280425	-0.00205303956195019	0.000520956809717756	0.000550832805885455	-0.000366549462267039	0.000502750366142069	0.000628949038276293	-3.83361854342454e-05	0.00194699985351158	0.00157628701208385	0.000740422405960951	0.00073065896768064	0.000555097806386175	-0.00138160224843372
ECA396	0.00067689306083293	0.00397125225670971	0.00371152475801143	-0.000942922170954494	0.00257940547082906	1.9381552408132e-07	0.061843185014093	0.00934196600665571	-0.00212045154488684	0.00416191962676324	0.00573569988449533	0.0050166480386803	0.00548267010184769	0.00581862215635185	-0.0014594200191312	0.00524754526338086	0.0062641776101478	0.00165831158173556	-0.00175525089175527	-0.000320441381205547	0.000567794243058142	0.00712826348988399	0.000654070436040332	0.00694104196523557	0.000656358171991053	0.0612950870884132	0.00782359445830639	-0.000283290063119721	-0.00112788852695948	0.000190938315543988	8.088192090548e-05	0.00546888567231757	0.000856310122453146	0.00333730982597075	0.000533459713603456	0.00979539889407826	-0.00126872323526078	0.00320740243516978	-0.000820633201789787
ED3005	0.00334254492893663	0.00412714984567997	0.00267926594577479	-0.00298350759947344	0.0117445437934533	-0.00203714990365707	0.00571618811408618	0.00622648510970876	-0.00225615734916731	0.00705363778804763	0.00446981229568594	-0.00310335077963474	-0.00827055925050907	0.00402410317141125	0.00528978593497705	0.00131672359743651	0.00194705500529103	-0.00125764340569289	-0.00151422829938784	-0.00327993955990958	0.000635504622550606	0.00172495549310578	-0.00244125161270793	0.0099660892807411	-0.00456767274785503	-0.00456767274785503	-0.00259375288588083	-0.000579693725246185	0.00213391946604346	-0.00284757025872825	0.00129243458184422	-0.000948138671665179	-0.00464979345000388	-0.00388349071087494	-0.00263321617421274	-0.00671739495848296	-0.00313413880488925	0.00478437101444485	0.00260817639208412
ED3011	0.00621340961119832	0.00838260453584694	0.0144441870024472	-0.00260176300202239	0.00721630906618315	0.00341425522462945	0.0551351065027304	0.0108716690168463	0.00125416421852025	0.0127015076370644	0.0173438453334008	0.031386888952721	0.0185282490259438	0.0132170428269635	0.0050169094439013	0.0208950624976719	0.0131525325422735	0.00689159771215392	0.00244218891603738	0.00976396292106565	0.00666782741485902	0.0201677821692085	0.00581689268779133	0.00170304266597916	0.00379055805700362	0.0327591158376166	0.00789894836253852	0.00649593473034603	0.00255147816795828	0.0132510086284164	0.020758442780195	0.0135601444100616	0.00065028999994806	-0.00740465516501397	0.0129348214742702	0.0124757565108319	-0.00467277117512654	0.0155655503087798	0.00134372978099704
ED3012	-0.000104917204648806	-0.00157992167645	-0.00150616578314672	0.00243766579095593	-0.00253374290830608	-0.00265617080291391	-0.00265617080291391	-0.00265617080291391	-0.00265617080291391	-0.00608387399499091	-0.00608387399499091	-0.000136938858849482	-0.00357708265869202	-0.00608387399499091	-0.0058098541100481	-0.0018045454765388	-0.00608387399499091	0.000194289930246054	-0.00265617080291391	-0.000880848062261269	0.00118996659336673	-0.00265617080291391	-0.00265617080291391	-0.00265617080291391	-0.000454441921430481	-0.00265617080291391	-0.00265617080291391	-0.00139484055822248	0.00273554885797375	-0.00230053433809918	0.00149912185437902	0.000909326397785425	0.00190288814724909	-0.00243998511171362	-0.00336673141478658	-0.00608387399499091	-0.00550341778936286	-0.00608387399499091	-0.00265617080291391
ED3048	0.0053178961021317	0.00730114590255865	-0.000906436761065978	0.0165683109749781	-0.0202176394507329	0.00692239690978141	-0.0361596454780375	0.00375285392240516	0.00988389003241975	-0.00956257816661332	-0.0159995755353858	-0.00810322045290699	0.0123448735744274	0.00380499833319312	-0.0238368737279287	-0.00589615524035949	0.00255736933973737	-0.0115799677433552	0.00767465222270526	0.00307958463257624	0.0115961949727944	-0.0165159391123787	-0.0186768307186919	-0.0181551714010202	-0.0133599555480284	-0.0361596454780375	-0.019793950810115	0.00321021046580772	0.00698555051242828	0.00959256698368448	-0.0115404399334702	-0.00210150272822758	-0.00207346020609358	-0.0192530221327485	-0.00577212831322066	-0.00416711189543269	0.00619981265696489	-0.00951689335022148	0.00663619693334744
ED3049	-0.00263267240754995	-0.00622968485503253	0.00850469210682883	0.0133238287534369	0.00156689040972668	-0.00513522328122127	-0.0365794073016592	-0.0308488174643964	-0.00387670789197544	-0.0508239908697981	-0.0536321693965012	-0.0614326054164618	-0.0478104055605254	-0.0526003723753807	-0.0266001962878865	-0.0572202690234865	-0.060078849732402	-0.0494090350801189	-0.002205153048283	-0.00380733344198084	-0.00418152627998452	0.00306496360078471	0.0139828108235702	-0.00667916501353008	-0.0046609376206417	-0.035340810152645	-0.0348770657062621	0.00353726265711664	-0.0227789750782917	-0.0200830874220115	-0.054956539602871	0.00844036850709068	0.017130066387144	-0.0482491183612871	-0.0226053205171462	-0.0632672971462877	-0.0439247663364807	-0.0498185692680455	0.0016597347269106
ED3073	-0.00171988726847735	-0.00384619386107897	-0.00925523970848862	-0.00419803938093067	-0.0134023800093943	-0.00107666209361014	-0.0207763649731211	-0.013802150194857	-0.00180478154003698	0.00331576565950065	0.00255797223069939	0.00687190840698496	0.000889295825383132	6.44557656515592e-05	0.00524750923242378	0.00262260993672716	0.00934726810773286	0.00183434271470884	0.00404645951474646	0.00469247998981981	-0.00287876370901042	-0.00796906776248498	-0.00469396780970915	-0.00929193526328452	0.00246468831515397	-0.0204039019605058	-0.0221034024833872	-0.00512897667428629	0.00655589325310676	0.0122205757841274	0.00990837072191985	0.000709007372823221	0.000462503852035856	0.00627992410012923	-0.00272104091206719	-0.0041724019852325	0.0010200037793751	0.00637893338024301	-0.00487791361307456
ED3077	0.00579161847134698	0.0082208879715247	0.00673178397430698	0.0084021213474553	-0.0069680548925182	0.00482630794307897	-0.00850038192983854	-0.00632161593064279	0.00733894518405736	-0.00738778058060319	-0.0126459873104529	-0.0119908540571712	-0.0117068118108651	-0.0087152125926138	-0.0140877534464119	-0.0106270312448912	-0.0150764502514533	-0.012965600647823	0.00250933746707368	0.00235239354572886	0.0136408896883471	0.00113901544182179	0.000875660992261641	-0.00742901594575394	-0.00677136348359845	-0.00850038192983854	-0.00850038192983854	-0.00251758479668046	-0.00127441623156611	-0.00343479997339278	-0.0148538168313805	-0.00646927221026985	0.00156015371223061	-0.0175957870591381	-0.00656759557948033	-0.0178598684332525	-0.0115225050191304	-0.00799942912214332	0.00728449557435402
