strain	pellet_fog-2_S10	pellet_rpn-12_S11	pellet_spe-19_S12	pellet_spe-43_S13	pellet_vha-5_S14	pellet_unc-39_S15	pellet_mig-6_S16	pellet_rde-3_S18	supernatant_ric-3_S20	supernatant_fog-2_S21	supernatant_rpn-12_S22	supernatant_spe-19_S23	supernatant_spe-43_S24	supernatant_vha-5_S25	supernatant_unc-39_S26	supernatant_rde-3_S29	pellet_ric-3_S30	pellet_fog-2_S31	pellet_rpn-12_S32	pellet_spe-19_S33	pellet_spe-43_S34	pellet_vha-5_S35	pellet_unc-39_S36	pellet_mig-6_S37	pellet_rde-3_S39	supernatant_ric-3_S41	supernatant_fog-2_S42	supernatant_rpn-12_S43	supernatant_spe-19_S44	supernatant_spe-43_S45	supernatant_vha-5_S46	supernatant_unc-39_S47	supernatant_rde-3_S50	supernatant_ric-3_S55	pellet_ric-3_S9	PC1	PC2	PC3
ECA349	-0.000867293163944428	0.000501877800507	-0.000177416101142267	-0.00165910726446056	0.000951144367841702	-0.000138199099966845	0.00840765216408003	-0.00242738204833439	-0.00192280797669017	0.00270090120241299	0.00382449794560708	-0.00287891646461051	0.00855060370561416	-0.0049927013165444	0.00347025922895067	0.00242922581397728	-0.00038990239088944	-0.00242738204833439	-0.000148402745530623	0.00211148524749554	-0.000210141748517872	1.06162508574071e-05	-0.002331824225976	0.00659789692760059	-0.00242738204833439	-0.00277275213904307	-0.00400283411828893	0.00498227025673348	-0.000623260514081525	-0.0014098611400569	-0.00159755355640665	-0.00111820925647585	-0.00442744744244616	0.00160879155724011	-0.00197967269164486	-0.00261419715311039	0.0119556830917912	-0.00192186770558018
ECA363	0.000685999364604677	-0.000423952653090984	0.00106206218539762	0.000898608636138864	0.000163253445057875	0.0016307828912868	0.00368004037367848	0.000862223588021729	-8.78460424922178e-05	-0.000229030754456174	-0.000721294683729548	0.00126739928976479	0.00103930043171719	-0.000321128671914394	0.00045035964978435	-0.000310007331313775	0.000645381214105625	0.00073705178229382	-0.000109485696825027	0.000528798031889669	0.00136573135135636	0.000701207109708264	0.00224113050991076	0.00329119276093149	0.00254775852784499	-0.000152374256320314	-0.00106975652447281	-0.0002004566960637	-7.42580239294758e-05	-0.000741543247640014	0.00124379279130581	0.000873079949878082	2.74519054748708e-05	-0.000148109255819594	0.000645199469693519	0.00384329798460272	0.0039207402690415	-0.00264238761379654
ECA396	-0.00790588717164812	-0.00461152797577133	-0.00487125547446961	-0.00952570240343554	-0.00600337476165199	-0.00858258641695697	0.0532604047816119	-0.0107032317773679	-0.00386786862534978	-0.0022940883676177	-0.00301314021343273	-0.00254711815026534	-0.00221116609576118	-0.00948920827124423	-0.00278224298873216	-0.00637147667037746	-0.0103380311242363	-0.00890322161368659	-0.00801498598942291	-0.00145451674259706	-0.00792870979644071	-0.00164173826724547	-0.00792642206048999	0.0527123068559322	-0.00886607029560077	-0.00915767677907251	-0.00783884993656904	-0.00794890633120755	-0.00256090257979546	-0.00717347812965988	-0.00469247842614228	-0.00749632853850957	-0.00929851148737381	-0.00482238581694325	-0.00940341343427083	-0.0315211931189281	0.0682240487740319	-0.0348886609652322
ED3005	0.00152617881702266	0.002310783733766	0.000862899833860819	-0.00479987371138741	0.00992817768153935	-0.00385351601557104	0.00389982200217221	-0.00407252346108128	0.00943880776464359	0.0068549822722819	-0.000718180803038773	-0.0058853892739131	0.00640927314800722	0.00767495591157302	0.00370189357403247	0.00112752657090308	-0.00333059441130181	-0.00509630567182355	-0.00118086148936336	-9.14106188081914e-05	-0.0042576177246219	0.00814972316882713	-0.006384038859769	-0.006384038859769	-0.00239605983716016	0.00451908944263942	-0.000462400282132288	0.00367760455844019	0.00143703130493078	-0.00226462347340791	-0.00149832073427898	-0.000248046197616772	-0.000748968828293289	0.00716954099104082	0.000791810280170153	-0.000111004707476846	0.00348369144684616	0.0141186643127645
ED3011	-0.00317189907849408	-0.00100270415384546	0.00505887831275484	-0.0119870716917148	-0.00216899962350925	-0.00597105346506295	0.045749797813038	-0.00813114447117214	-0.000112636889488225	0.00452970080684813	0.0185727444261684	0.0057141044993911	0.000402898300410862	-0.00779723508265137	0.00808091797111924	-0.00592254681439875	-0.00694311977365502	0.00037865423137325	-0.00271748127483338	0.0107824734795161	-0.00356841600190107	-0.00768226602371324	-0.00559475063268878	0.0233738071479242	-0.00288937395934637	-0.0102626663585944	0.00043686410186377	0.0079442982536423	0.000745999883508951	-0.0121638545266046	-0.0202187996915666	0.000120676947717564	-0.0174869157016792	0.00275140578222716	-0.00804157890869536	-0.0129663868862029	0.045164843446381	-0.0209312874204275
ED3012	0.00255125359826511	0.00107624912646391	0.00115000501976719	0.00509383659386984	0.000122427894607838	0	0	0	0	0	0.00594693513614143	0.00250679133629889	0	0.000274019884942809	0.00427932851845211	0.00627816392523697	0	0.00177532274065264	0.00384613739628065	0	0	0	0.00220172888148343	0	0.00126133024469143	0.00881942285296466	0.00378333965689173	0.00758299584936993	0.00699320039277634	0.00798676214224	0.00364388888327729	0.00271714258020434	0.000580456205628048	0	0	0.0105268513143575	0.00316298353637918	0.0101685976602843
ED3048	0.0133384445459866	0.0153216943464136	0.00711411168278893	0.024588859418833	-0.012197091006878	0.0149429453536363	-0.0281390970341826	0.0179044384762747	-0.00875770688876566	-0.0151947042575381	-0.00729834917505933	0.0131497448522751	0.00460986961104078	-0.0230320024500811	-0.00509128396251183	-0.0107750964655075	0.0156952006665602	0.0111001330764311	0.0196167434166493	-0.00849539066852375	-0.010656282274837	-0.0101346229571653	-0.00533940710417348	-0.0281390970341826	0.0112307589096626	0.00779042179027594	0.0103974382615321	-0.0107355686556226	-0.00129663145037992	-0.00126858892824592	-0.0184481508549008	-0.004967257035373	0.00700468393481255	-0.00871202207237382	0.0146567453772023	0.016791182091965	-0.0510055205617291	-0.0101205634494967
ED3049	0.0302302691777793	0.0266332567302967	0.0413676336921581	0.0461867703387661	0.0344298319950559	0.027727718304108	-0.00371646571632993	0.0289862336933538	0.0108490825695467	0.00804090404284364	0.000240468022883048	0.0138626678788195	0.00907270106396417	0.0350728771514584	0.00445280441585836	0.012264038359226	0.0306577885370462	0.0290556081433484	0.0286814153053447	0.0359279051861139	0.0468457524088994	0.0261837765717991	0.0282020039646875	-0.00247786856731579	0.0364002042424459	0.0388940983610532	0.0415899860173333	0.00671653383647387	0.0701134419464356	0.0788031398264889	0.0134239550780578	0.0390677529221987	0.0177483071028642	0.0118545041712994	0.0345226763122398	0.167703325679584	-0.00610996761843764	0.0318701926992268
ED3073	0.0162328890706448	0.0141065824780432	0.0086975366306335	0.0137547369581915	0.00455039632972785	0.016876114245512	-0.00282358863399901	0.0161479947990851	0.000728332598250465	-2.94608305507933e-05	0.00428447534573477	-0.00169813723586705	-0.00252297729559862	0.00266007617117359	3.5176875476977e-05	-0.000753090346541339	0.0219992358538686	0.0226452563289419	0.0150740126301117	0.00998370857663714	0.013258808529413	0.0086608410758376	0.0204174646542761	-0.00245112562138369	0.0128237996648358	0.00396846019185658	0.00963314272287726	0.00732093766066966	-0.00187842568842696	-0.00212492920921433	0.00369249103887904	-0.00530847397331737	-0.00156742928187509	0.00379150031899283	0.0130748627260476	0.0529789528868924	-0.0126461890898985	-0.012818895516858
ED3077	0.0132026174015876	0.0156318869017654	0.0141427829045476	0.015813120277696	0.000442944037722464	0.0122373068733196	-0.00108938299959788	0.014749944114298	0.0090803787617497	0.00382217203190001	0.0044773052851817	0.0047613475314878	0.00775294674973909	0.00238040589594095	0.00584112809746169	0.00350255869452987	0.00992033639731435	0.00976339247596952	0.0210518886185878	0.00855001437206246	0.0082866599225023	-1.80170155132733e-05	0.000639635446642216	-0.00108938299959788	0.0048934141335602	0.0151937431107868	0.0130333593689601	0.00161434251097236	0.00999888713208304	0.0180283130545835	-0.00112762771678526	0.00990056376287256	0.00494565432322248	0.00846873022020956	0.0146954945045947	0.0495998745691015	-0.00254636874665208	0.00842453397046393
